"Time (YYYY:MM:DD)","Range (km)"
2018:05:18:14:37:57.000,12931.477964
2018:05:18:14:47:57.000,13094.332479
2018:05:18:14:57:57.000,13251.128320
2018:05:18:15:07:57.000,13401.957241
2018:05:18:15:17:57.000,13546.906157
2018:05:18:15:27:57.000,13686.057332
2018:05:18:15:37:57.000,13819.488560
2018:05:18:15:47:57.000,13947.273344
2018:05:18:15:57:57.000,14069.481070
2018:05:18:16:07:57.000,14186.177167
2018:05:18:16:17:57.000,14297.423267
2018:05:18:16:27:57.000,14403.277348
2018:05:18:16:37:57.000,14503.793879
2018:05:18:16:47:57.000,14599.023945
2018:05:18:16:57:57.000,14689.015372
2018:05:18:17:07:57.000,14773.812840
2018:05:18:17:17:57.000,14853.457991
2018:05:18:17:27:57.000,14927.989522
2018:05:18:17:37:57.000,14997.443281
2018:05:18:17:47:57.000,15061.852349
2018:05:18:17:57:57.000,15121.247114
2018:05:18:18:07:57.000,15175.655343
2018:05:18:18:17:57.000,15225.102246
2018:05:18:18:27:57.000,15269.610528
2018:05:18:18:37:57.000,15309.200448
2018:05:18:18:47:57.000,15343.889857
2018:05:18:18:57:57.000,15373.694240
2018:05:18:19:07:57.000,15398.626753
2018:05:18:19:17:57.000,15418.698244
2018:05:18:19:27:57.000,15433.917285
2018:05:18:19:37:57.000,15444.290182
2018:05:18:19:47:57.000,15449.820993
2018:05:18:19:57:57.000,15450.511536
2018:05:18:20:07:57.000,15446.361388
2018:05:18:20:17:57.000,15437.367883
2018:05:18:20:27:57.000,15423.526108
2018:05:18:20:37:57.000,15404.828889
2018:05:18:20:47:57.000,15381.266768
2018:05:18:20:57:57.000,15352.827988
2018:05:18:21:07:57.000,15319.498457
2018:05:18:21:17:57.000,15281.261719
2018:05:18:21:27:57.000,15238.098909
2018:05:18:21:37:57.000,15189.988711
2018:05:18:21:47:57.000,15136.907303
2018:05:18:21:57:57.000,15078.828301
2018:05:18:22:07:57.000,15015.722687
2018:05:18:22:17:57.000,14947.558747
2018:05:18:22:27:57.000,14874.301978
2018:05:18:22:37:57.000,14795.915013
2018:05:18:22:47:57.000,14712.357512
2018:05:18:22:57:57.000,14623.586068
2018:05:18:23:07:57.000,14529.554086
2018:05:18:23:17:57.000,14430.211659
2018:05:18:23:27:57.000,14325.505438
2018:05:18:23:37:57.000,14215.378481
2018:05:18:23:47:57.000,14099.770098
2018:05:18:23:57:57.000,13978.615683
2018:05:19:00:07:57.000,13851.846527
2018:05:19:00:17:57.000,13719.389628
2018:05:19:00:27:57.000,13581.167473
2018:05:19:00:37:57.000,13437.097817
2018:05:19:00:47:57.000,13287.093441
2018:05:19:00:57:57.000,13131.061895
2018:05:19:01:07:57.000,12968.905227
2018:05:19:01:17:57.000,12800.519694
2018:05:19:01:27:57.000,12625.795459
2018:05:19:01:37:57.000,12444.616280
2018:05:19:01:47:57.000,12256.859184
2018:05:19:01:57:57.000,12062.394138
2018:05:19:02:07:57.000,11861.083721
2018:05:19:02:17:57.000,11652.782808
2018:05:19:02:27:57.000,11437.338279
2018:05:19:02:37:57.000,11214.588775
2018:05:19:02:47:57.000,10984.364524
2018:05:19:02:57:57.000,10746.487285
2018:05:19:03:07:57.000,10500.770467
2018:05:19:03:17:57.000,10247.019493
2018:05:19:03:27:57.000,9985.032543
2018:05:19:03:37:57.000,9714.601826
2018:05:19:03:47:57.000,9435.515634
2018:05:19:03:57:57.000,9147.561516
2018:05:19:04:07:57.000,8850.531088
2018:05:19:04:17:57.000,8544.227232
2018:05:19:04:27:57.000,8228.474807
2018:05:19:04:37:57.000,7903.136581
2018:05:19:04:47:57.000,7568.136999
2018:05:19:04:57:57.000,7223.497835
2018:05:19:05:07:57.000,6869.392132
2018:05:19:05:17:57.000,6506.226624
2018:05:19:05:27:57.000,6134.769140
2018:05:19:05:37:57.000,5756.347885
2018:05:19:05:47:57.000,5373.166493
2018:05:19:05:57:57.000,4988.805413
2018:05:19:06:07:57.000,4609.017313
2018:05:19:06:17:57.000,4242.957634
2018:05:19:06:27:57.000,3904.948926
2018:05:19:06:29:46.034,3848.084920
2018:05:19:09:16:01.769,7102.964906
2018:05:19:09:26:01.000,7443.153799
2018:05:19:09:36:01.000,7776.035440
2018:05:19:09:46:01.000,8100.739331
2018:05:19:09:56:01.000,8417.028941
2018:05:19:10:06:01.000,8724.800795
2018:05:19:10:16:01.000,9024.042964
2018:05:19:10:26:01.000,9314.806072
2018:05:19:10:36:01.000,9597.182940
2018:05:19:10:46:01.000,9871.294219
2018:05:19:10:56:01.000,10137.278218
2018:05:19:11:06:01.000,10395.283682
2018:05:19:11:16:01.000,10645.464672
2018:05:19:11:26:01.000,10887.976933
2018:05:19:11:36:01.000,11122.975338
2018:05:19:11:46:01.000,11350.612115
2018:05:19:11:56:01.000,11571.035620
2018:05:19:12:06:01.000,11784.389528
2018:05:19:12:16:01.000,11990.812312
2018:05:19:12:26:01.000,12190.436944
2018:05:19:12:36:01.000,12383.390737
2018:05:19:12:46:01.000,12569.795311
2018:05:19:12:56:01.000,12749.766631
2018:05:19:13:06:01.000,12923.415100
2018:05:19:13:16:01.000,13090.845692
2018:05:19:13:26:01.000,13252.158106
2018:05:19:13:36:01.000,13407.446941
2018:05:19:13:46:01.000,13556.801873
2018:05:19:13:56:01.000,13700.307837
2018:05:19:14:06:01.000,13838.045209
2018:05:19:14:16:01.000,13970.089984
2018:05:19:14:26:01.000,14096.513950
2018:05:19:14:36:01.000,14217.384854
2018:05:19:14:46:01.000,14332.766556
2018:05:19:14:56:01.000,14442.719189
2018:05:19:15:06:01.000,14547.299293
2018:05:19:15:16:01.000,14646.559952
2018:05:19:15:26:01.000,14740.550922
2018:05:19:15:36:01.000,14829.318746
2018:05:19:15:46:01.000,14912.906866
2018:05:19:15:56:01.000,14991.355721
2018:05:19:16:06:01.000,15064.702847
2018:05:19:16:16:01.000,15132.982957
2018:05:19:16:26:01.000,15196.228028
2018:05:19:16:36:01.000,15254.467368
2018:05:19:16:46:01.000,15307.727686
2018:05:19:16:56:01.000,15356.033151
2018:05:19:17:06:01.000,15399.405446
2018:05:19:17:16:01.000,15437.863814
2018:05:19:17:26:01.000,15471.425105
2018:05:19:17:36:01.000,15500.103807
2018:05:19:17:46:01.000,15523.912081
2018:05:19:17:56:01.000,15542.859783
2018:05:19:18:06:01.000,15556.954488
2018:05:19:18:16:01.000,15566.201503
2018:05:19:18:26:01.000,15570.603876
2018:05:19:18:36:01.000,15570.162403
2018:05:19:18:46:01.000,15564.875624
2018:05:19:18:56:01.000,15554.739823
2018:05:19:19:06:01.000,15539.749009
2018:05:19:19:16:01.000,15519.894906
2018:05:19:19:26:01.000,15495.166931
2018:05:19:19:36:01.000,15465.552162
2018:05:19:19:46:01.000,15431.035309
2018:05:19:19:56:01.000,15391.598674
2018:05:19:20:06:01.000,15347.222104
2018:05:19:20:16:01.000,15297.882945
2018:05:19:20:26:01.000,15243.555976
2018:05:19:20:36:01.000,15184.213350
2018:05:19:20:46:01.000,15119.824521
2018:05:19:20:56:01.000,15050.356161
2018:05:19:21:06:01.000,14975.772073
2018:05:19:21:16:01.000,14896.033094
2018:05:19:21:26:01.000,14811.096991
2018:05:19:21:36:01.000,14720.918341
2018:05:19:21:46:01.000,14625.448407
2018:05:19:21:56:01.000,14524.634998
2018:05:19:22:06:01.000,14418.422322
2018:05:19:22:16:01.000,14306.750822
2018:05:19:22:26:01.000,14189.556999
2018:05:19:22:36:01.000,14066.773220
2018:05:19:22:46:01.000,13938.327514
2018:05:19:22:56:01.000,13804.143343
2018:05:19:23:06:01.000,13664.139366
2018:05:19:23:16:01.000,13518.229172
2018:05:19:23:26:01.000,13366.320999
2018:05:19:23:36:01.000,13208.317432
2018:05:19:23:46:01.000,13044.115074
2018:05:19:23:56:01.000,12873.604197
2018:05:20:00:06:01.000,12696.668364
2018:05:20:00:16:01.000,12513.184035
2018:05:20:00:26:01.000,12323.020133
2018:05:20:00:36:01.000,12126.037606
2018:05:20:00:46:01.000,11922.088955
2018:05:20:00:56:01.000,11711.017753
2018:05:20:01:06:01.000,11492.658160
2018:05:20:01:16:01.000,11266.834435
2018:05:20:01:26:01.000,11033.360485
2018:05:20:01:36:01.000,10792.039459
2018:05:20:01:46:01.000,10542.663446
2018:05:20:01:56:01.000,10285.013321
2018:05:20:02:06:01.000,10018.858853
2018:05:20:02:16:01.000,9743.959183
2018:05:20:02:26:01.000,9460.063886
2018:05:20:02:36:01.000,9166.914898
2018:05:20:02:46:01.000,8864.249748
2018:05:20:02:56:01.000,8551.806740
2018:05:20:03:06:01.000,8229.333088
2018:05:20:03:16:01.000,7896.597537
2018:05:20:03:26:01.000,7553.409855
2018:05:20:03:36:01.000,7199.651028
2018:05:20:03:46:01.000,6835.320267
2018:05:20:03:56:01.000,6460.608929
2018:05:20:04:06:01.000,6076.018146
2018:05:20:04:16:01.000,5682.548704
2018:05:20:04:26:01.000,5282.012120
