"Time (YYYY:MM:DD)","Range (km)"
2018:05:17:11:02:43.219,4530.782449
2018:05:17:11:12:43.000,4846.668720
2018:05:17:11:22:43.000,5180.149279
2018:05:17:11:32:43.000,5522.651055
2018:05:17:11:42:43.000,5868.340319
2018:05:17:11:52:43.000,6213.249425
2018:05:17:12:02:43.000,6554.701619
2018:05:17:12:12:43.000,6890.905135
2018:05:17:12:22:43.000,7220.674463
2018:05:17:12:32:43.000,7543.240649
2018:05:17:12:42:43.000,7858.122172
2018:05:17:12:52:43.000,8165.036617
2018:05:17:13:02:43.000,8463.839834
2018:05:17:13:12:43.000,8754.483694
2018:05:17:13:22:43.000,9036.986534
2018:05:17:13:32:43.000,9311.412326
2018:05:17:13:42:43.000,9577.855906
2018:05:17:13:52:43.000,9836.432441
2018:05:17:14:02:43.000,10087.269892
2018:05:17:14:12:43.000,10330.503620
2018:05:17:14:22:43.000,10566.272506
2018:05:17:14:32:43.000,10794.716191
2018:05:17:14:42:43.000,11015.973106
2018:05:17:14:52:43.000,11230.179088
2018:05:17:15:02:43.000,11437.466429
2018:05:17:15:12:43.000,11637.963229
2018:05:17:15:22:43.000,11831.792982
2018:05:17:15:32:43.000,12019.074333
2018:05:17:15:42:43.000,12199.920948
2018:05:17:15:52:43.000,12374.441488
2018:05:17:16:02:43.000,12542.739628
2018:05:17:16:12:43.000,12704.914140
2018:05:17:16:22:43.000,12861.058990
2018:05:17:16:32:43.000,13011.263472
2018:05:17:16:42:43.000,13155.612342
2018:05:17:16:52:43.000,13294.185965
2018:05:17:17:02:43.000,13427.060468
2018:05:17:17:12:43.000,13554.307886
2018:05:17:17:22:43.000,13675.996314
2018:05:17:17:32:43.000,13792.190046
2018:05:17:17:42:43.000,13902.949715
2018:05:17:17:52:43.000,14008.332427
2018:05:17:18:02:43.000,14108.391886
2018:05:17:18:12:43.000,14203.178513
2018:05:17:18:22:43.000,14292.739561
2018:05:17:18:32:43.000,14377.119216
2018:05:17:18:42:43.000,14456.358701
2018:05:17:18:52:43.000,14530.496366
2018:05:17:19:02:43.000,14599.567773
2018:05:17:19:12:43.000,14663.605775
2018:05:17:19:22:43.000,14722.640592
2018:05:17:19:32:43.000,14776.699871
2018:05:17:19:42:43.000,14825.808754
2018:05:17:19:52:43.000,14869.989927
2018:05:17:20:02:43.000,14909.263675
2018:05:17:20:12:43.000,14943.647920
2018:05:17:20:22:43.000,14973.158265
2018:05:17:20:32:43.000,14997.808023
2018:05:17:20:42:43.000,15017.608248
2018:05:17:20:52:43.000,15032.567760
2018:05:17:21:02:43.000,15042.693159
2018:05:17:21:12:43.000,15047.988842
2018:05:17:21:22:43.000,15048.457011
2018:05:17:21:32:43.000,15044.097679
2018:05:17:21:42:43.000,15034.908667
2018:05:17:21:52:43.000,15020.885600
2018:05:17:22:02:43.000,15002.021898
2018:05:17:22:12:43.000,14978.308758
2018:05:17:22:22:43.000,14949.735139
2018:05:17:22:32:43.000,14916.287735
2018:05:17:22:42:43.000,14877.950944
2018:05:17:22:52:43.000,14834.706835
2018:05:17:23:02:43.000,14786.535110
2018:05:17:23:12:43.000,14733.413054
