"Time (YYYY:MM:DD)","Range (km)"
2018:05:17:11:16:51.719,5285.787137
2018:05:17:11:26:51.000,5668.288520
2018:05:17:11:36:51.000,6049.258619
2018:05:17:11:46:51.000,6425.089809
2018:05:17:11:56:51.000,6793.819768
2018:05:17:12:06:51.000,7154.254384
2018:05:17:12:16:51.000,7505.698778
2018:05:17:12:26:51.000,7847.784019
2018:05:17:12:36:51.000,8180.354569
2018:05:17:12:46:51.000,8503.394463
2018:05:17:12:56:51.000,8816.978410
2018:05:17:13:06:51.000,9121.239112
2018:05:17:13:16:51.000,9416.345273
2018:05:17:13:26:51.000,9702.486711
2018:05:17:13:36:51.000,9979.864263
2018:05:17:13:46:51.000,10248.682948
2018:05:17:13:56:51.000,10509.147351
2018:05:17:14:06:51.000,10761.458551
2018:05:17:14:16:51.000,11005.812108
2018:05:17:14:26:51.000,11242.396801
2018:05:17:14:36:51.000,11471.393872
2018:05:17:14:46:51.000,11692.976634
2018:05:17:14:56:51.000,11907.310330
2018:05:17:15:06:51.000,12114.552153
2018:05:17:15:16:51.000,12314.851391
2018:05:17:15:26:51.000,12508.349639
2018:05:17:15:36:51.000,12695.181063
2018:05:17:15:46:51.000,12875.472688
2018:05:17:15:56:51.000,13049.344707
2018:05:17:16:06:51.000,13216.910782
2018:05:17:16:16:51.000,13378.278351
2018:05:17:16:26:51.000,13533.548923
2018:05:17:16:36:51.000,13682.818369
2018:05:17:16:46:51.000,13826.177185
2018:05:17:16:56:51.000,13963.710760
2018:05:17:17:06:51.000,14095.499617
2018:05:17:17:16:51.000,14221.619642
2018:05:17:17:26:51.000,14342.142303
2018:05:17:17:36:51.000,14457.134849
2018:05:17:17:46:51.000,14566.660499
2018:05:17:17:56:51.000,14670.778618
2018:05:17:18:06:51.000,14769.544879
2018:05:17:18:16:51.000,14863.011415
2018:05:17:18:26:51.000,14951.226958
2018:05:17:18:36:51.000,15034.236970
2018:05:17:18:46:51.000,15112.083759
2018:05:17:18:56:51.000,15184.806592
2018:05:17:19:06:51.000,15252.441793
2018:05:17:19:16:51.000,15315.022838
2018:05:17:19:26:51.000,15372.580437
2018:05:17:19:36:51.000,15425.142610
2018:05:17:19:46:51.000,15472.734759
2018:05:17:19:56:51.000,15515.379726
2018:05:17:20:06:51.000,15553.097853
2018:05:17:20:16:51.000,15585.907025
2018:05:17:20:26:51.000,15613.822719
2018:05:17:20:36:51.000,15636.858037
2018:05:17:20:46:51.000,15655.023738
2018:05:17:20:56:51.000,15668.328261
2018:05:17:21:06:51.000,15676.777750
2018:05:17:21:16:51.000,15680.376062
2018:05:17:21:26:51.000,15679.124782
2018:05:17:21:36:51.000,15673.023219
2018:05:17:21:46:51.000,15662.068414
2018:05:17:21:56:51.000,15646.255123
2018:05:17:22:06:51.000,15625.575811
2018:05:17:22:16:51.000,15600.020632
2018:05:17:22:26:51.000,15569.577404
2018:05:17:22:36:51.000,15534.231585
2018:05:17:22:46:51.000,15493.966230
2018:05:17:22:56:51.000,15448.761957
2018:05:17:23:06:51.000,15398.596899
2018:05:17:23:16:51.000,15343.446646
2018:05:17:23:26:51.000,15283.284191
2018:05:17:23:36:51.000,15218.079858
2018:05:17:23:46:51.000,15147.801232
2018:05:17:23:56:51.000,15072.413072
2018:05:18:00:06:51.000,14991.877227
2018:05:18:00:16:51.000,14906.152532
2018:05:18:00:26:51.000,14815.194704
2018:05:18:00:36:51.000,14718.956221
2018:05:18:00:46:51.000,14617.386201
2018:05:18:00:56:51.000,14510.430260
2018:05:18:01:06:51.000,14398.030361
2018:05:18:01:16:51.000,14280.124658
2018:05:18:01:26:51.000,14156.647320
2018:05:18:01:36:51.000,14027.528343
2018:05:18:01:46:51.000,13892.693350
2018:05:18:01:56:51.000,13752.063377
2018:05:18:02:06:51.000,13605.554638
2018:05:18:02:16:51.000,13453.078283
2018:05:18:02:26:51.000,13294.540134
2018:05:18:02:36:51.000,13129.840408
2018:05:18:02:46:51.000,12958.873422
2018:05:18:02:56:51.000,12781.527287
2018:05:18:03:06:51.000,12597.683590
2018:05:18:03:16:51.000,12407.217062
2018:05:18:03:26:51.000,12209.995250
2018:05:18:03:36:51.000,12005.878186
2018:05:18:03:46:51.000,11794.718072
2018:05:18:03:56:51.000,11576.358998
2018:05:18:04:06:51.000,11350.636704
2018:05:18:04:16:51.000,11117.378435
2018:05:18:04:26:51.000,10876.402913
2018:05:18:04:36:51.000,10627.520503
2018:05:18:04:46:51.000,10370.533663
2018:05:18:04:56:51.000,10105.237782
2018:05:18:05:06:51.000,9831.422628
2018:05:18:05:16:51.000,9548.874622
2018:05:18:05:26:51.000,9257.380353
2018:05:18:05:36:51.000,8956.731876
2018:05:18:05:46:51.000,8646.734615
2018:05:18:05:56:51.000,8327.219106
2018:05:18:06:06:51.000,7998.058456
2018:05:18:06:16:51.000,7659.194350
2018:05:18:06:26:51.000,7310.676070
2018:05:18:06:36:51.000,6952.719474
2018:05:18:06:46:51.000,6585.797051
2018:05:18:06:56:51.000,6210.776887
2018:05:18:07:06:51.000,5829.139330
2018:05:18:07:16:51.000,5443.317557
2018:05:18:07:26:51.000,5057.233905
2018:05:18:07:30:16.157,4926.189358
2018:05:18:10:17:25.025,6280.530580
2018:05:18:10:27:25.000,6650.227042
2018:05:18:10:37:25.000,7012.644729
2018:05:18:10:47:25.000,7366.767528
2018:05:18:10:57:25.000,7712.012059
2018:05:18:11:07:25.000,8048.071226
2018:05:18:11:17:25.000,8374.821179
2018:05:18:11:27:25.000,8692.259329
2018:05:18:11:37:25.000,9000.462711
2018:05:18:11:47:25.000,9299.559794
2018:05:18:11:57:25.000,9589.711276
2018:05:18:12:07:25.000,9871.096949
2018:05:18:12:17:25.000,10143.906688
2018:05:18:12:27:25.000,10408.334286
2018:05:18:12:37:25.000,10664.573246
2018:05:18:12:47:25.000,10912.813953
2018:05:18:12:57:25.000,11153.241791
2018:05:18:13:07:25.000,11386.035947
2018:05:18:13:17:25.000,11611.368681
2018:05:18:13:27:25.000,11829.404925
