"Time (YYYY:MM:DD)","Range (km)"
2018:05:17:12:28:22.658,4407.311974
2018:05:17:12:38:22.000,4187.093506
2018:05:17:12:48:22.000,3970.540539
2018:05:17:12:58:22.000,3762.369097
2018:05:17:13:08:22.000,3567.698006
2018:05:17:13:18:22.000,3392.257271
2018:05:17:13:28:22.000,3242.219406
2018:05:17:13:38:22.000,3123.827271
2018:05:17:13:48:22.000,3042.782760
2018:05:17:13:58:22.000,3003.457714
2018:05:17:14:08:22.000,3008.128231
2018:05:17:14:18:22.000,3056.518373
2018:05:17:14:28:22.000,3145.857625
2018:05:17:14:38:22.000,3271.425122
2018:05:17:14:48:22.000,3427.343168
2018:05:17:14:58:22.000,3607.340845
2018:05:17:15:08:22.000,3805.315737
2018:05:17:15:18:22.000,4015.658248
2018:05:17:15:28:22.000,4233.385998
2018:05:17:15:36:14.842,4407.310406
2018:05:17:20:42:09.409,4407.312105
2018:05:17:20:52:09.000,4187.002705
2018:05:17:21:02:09.000,3970.452291
2018:05:17:21:12:09.000,3762.285393
2018:05:17:21:22:09.000,3567.621102
2018:05:17:21:32:09.000,3392.189656
2018:05:17:21:42:09.000,3242.163685
2018:05:17:21:52:09.000,3123.785965
2018:05:17:22:02:09.000,3042.758009
2018:05:17:22:12:09.000,3003.450930
2018:05:17:22:22:09.000,3008.139831
2018:05:17:22:32:09.000,3056.547688
2018:05:17:22:42:09.000,3145.903036
2018:05:17:22:52:09.000,3271.484364
2018:05:17:23:02:09.000,3427.413667
2018:05:17:23:12:09.000,3607.419998
2018:05:17:23:22:09.000,3805.401098
2018:05:17:23:32:09.000,4015.747616
2018:05:17:23:42:09.000,4233.477440
2018:05:17:23:50:01.597,4407.312106
2018:05:18:04:55:56.160,4407.312015
2018:05:18:05:05:56.000,4186.911870
2018:05:18:05:15:56.000,3970.364012
2018:05:18:05:25:56.000,3762.201662
2018:05:18:05:35:56.000,3567.544178
2018:05:18:05:45:56.000,3392.122025
2018:05:18:05:55:56.000,3242.107954
2018:05:18:06:05:56.000,3123.744658
2018:05:18:06:15:56.000,3042.733262
2018:05:18:06:25:56.000,3003.444157
2018:05:18:06:35:56.000,3008.151446
2018:05:18:06:45:56.000,3056.577021
2018:05:18:06:55:56.000,3145.948468
2018:05:18:07:05:56.000,3271.543627
2018:05:18:07:15:56.000,3427.484186
2018:05:18:07:25:56.000,3607.499171
2018:05:18:07:35:56.000,3805.486478
2018:05:18:07:45:56.000,4015.836999
2018:05:18:07:55:56.000,4233.568896
2018:05:18:08:03:48.347,4407.312003
2018:05:18:13:09:42.911,4407.312106
2018:05:18:13:19:42.000,4187.186400
2018:05:18:13:29:42.000,3970.631031
2018:05:18:13:39:42.000,3762.455170
2018:05:18:13:49:42.000,3567.777368
2018:05:18:13:59:42.000,3392.327391
2018:05:18:14:09:42.000,3242.277619
2018:05:18:14:19:42.000,3123.870987
2018:05:18:14:29:42.000,3042.809767
2018:05:18:14:39:42.000,3003.466524
2018:05:18:14:49:42.000,3008.118364
2018:05:18:14:59:42.000,3056.490451
2018:05:18:15:09:42.000,3145.813238
2018:05:18:15:19:42.000,3271.366534
2018:05:18:15:29:42.000,3427.272970
2018:05:18:15:39:42.000,3607.261662
