"Time (YYYY:MM:DD)","Range (km)"
2018:05:20:09:06:50.000,4392.206432
2018:05:20:09:08:02.770,4407.311172
2018:05:20:14:50:38.361,4407.311395
2018:05:20:15:00:38.000,4286.601321
2018:05:20:15:10:38.000,4176.054054
2018:05:20:15:20:38.000,4078.432687
2018:05:20:15:30:38.000,3996.315417
2018:05:20:15:40:38.000,3932.037592
2018:05:20:15:50:38.000,3887.544343
2018:05:20:16:00:38.000,3864.247185
2018:05:20:16:10:38.000,3862.907619
2018:05:20:16:20:38.000,3883.569885
2018:05:20:16:30:38.000,3925.556959
2018:05:20:16:40:38.000,3987.530658
2018:05:20:16:50:38.000,4067.603168
2018:05:20:17:00:38.000,4163.478447
2018:05:20:17:10:38.000,4272.600214
2018:05:20:17:20:38.000,4392.287606
2018:05:20:17:21:50.383,4407.311540
2018:05:20:23:04:26.193,4407.311156
2018:05:20:23:14:26.000,4286.573377
2018:05:20:23:24:26.000,4176.034225
2018:05:20:23:34:26.000,4078.421693
2018:05:20:23:44:26.000,3996.313806
2018:05:20:23:54:26.000,3932.045682
2018:05:21:00:04:26.000,3887.562181
2018:05:21:00:14:26.000,3864.274516
2018:05:21:00:24:26.000,3862.943882
2018:05:21:00:34:26.000,3883.614238
2018:05:21:00:44:26.000,3925.608330
2018:05:21:00:54:26.000,3987.587809
2018:05:21:01:04:26.000,4067.664772
2018:05:21:01:14:26.000,4163.543156
2018:05:21:01:24:26.000,4272.666715
2018:05:21:01:34:26.000,4392.354668
2018:05:21:01:35:38.064,4407.312079
2018:05:21:07:18:13.974,4407.312095
2018:05:21:07:28:13.000,4286.726869
2018:05:21:07:38:13.000,4176.174135
2018:05:21:07:48:13.000,4078.544491
2018:05:21:07:58:13.000,3996.416153
2018:05:21:08:08:13.000,3932.124616
2018:05:21:08:18:13.000,3887.615309
2018:05:21:08:28:13.000,3864.300202
2018:05:21:08:38:13.000,3862.941374
2018:05:21:08:48:13.000,3883.583733
2018:05:21:08:58:13.000,3925.550942
2018:05:21:09:08:13.000,3987.505471
2018:05:21:09:18:13.000,4067.560067
2018:05:21:09:28:13.000,4163.419135
2018:05:21:09:38:13.000,4272.526707
2018:05:21:09:48:13.000,4392.202115
2018:05:21:09:49:25.798,4407.311151
2018:05:21:15:32:01.709,4407.311585
2018:05:21:15:42:01.000,4286.673643
2018:05:21:15:52:01.000,4176.124394
2018:05:21:16:02:01.000,4078.499325
2018:05:21:16:12:01.000,3996.376628
2018:05:21:16:22:01.000,3932.091723
2018:05:21:16:32:01.000,3887.589906
2018:05:21:16:42:01.000,3864.282952
2018:05:21:16:52:01.000,3862.932703
2018:05:21:17:02:01.000,3883.583794
2018:05:21:17:12:01.000,3925.559620
2018:05:21:17:22:01.000,3987.522395
2018:05:21:17:32:01.000,4067.584657
2018:05:21:17:42:01.000,4163.450644
2018:05:21:17:52:01.000,4272.564279
2018:05:21:18:02:01.000,4392.244829
2018:05:21:18:03:13.591,4407.311359
2018:05:21:23:45:49.387,4407.311176
2018:05:21:23:55:49.000,4286.606214
2018:05:22:00:05:49.000,4176.058346
2018:05:22:00:15:49.000,4078.435969
2018:05:22:00:25:49.000,3996.317325
2018:05:22:00:35:49.000,3932.037829
2018:05:22:00:45:49.000,3887.542704
2018:05:22:00:55:49.000,3864.243574
2018:05:22:01:05:49.000,3862.902063
2018:05:22:01:15:49.000,3883.562535
2018:05:22:01:25:49.000,3925.548079
2018:05:22:01:35:49.000,3987.520606
2018:05:22:01:45:49.000,4067.592371
2018:05:22:01:55:49.000,4163.467376
2018:05:22:02:05:49.000,4272.589354
2018:05:22:02:15:49.000,4392.277439
2018:05:22:02:17:01.433,4407.311940
2018:05:22:07:59:37.000,4407.311120
2018:05:22:08:09:37.000,4286.523659
2018:05:22:08:19:37.000,4175.975223
2018:05:22:08:29:37.000,4078.353834
2018:05:22:08:39:37.000,3996.237855
2018:05:22:08:49:37.000,3931.962760
2018:05:22:08:59:37.000,3887.473752
2018:05:22:09:09:37.000,3864.182345
2018:05:22:09:19:37.000,3862.849957
2018:05:22:09:29:37.000,3883.520666
2018:05:22:09:39:37.000,3925.517223
2018:05:22:09:49:37.000,3987.501173
2018:05:22:09:59:37.000,4067.584420
2018:05:22:10:09:37.000,4163.470649
2018:05:22:10:19:37.000,4272.603330
2018:05:22:10:29:37.000,4392.301392
2018:05:22:10:30:49.309,4407.311130
2018:05:22:16:13:24.543,4407.311802
2018:05:22:16:23:24.000,4286.618705
2018:05:22:16:33:24.000,4176.048599
2018:05:22:16:43:24.000,4078.402943
2018:05:22:16:53:24.000,3996.260569
2018:05:22:17:03:24.000,3931.957599
2018:05:22:17:13:24.000,3887.440039
2018:05:22:17:23:24.000,3864.120320
2018:05:22:17:33:24.000,3862.760817
2018:05:22:17:43:24.000,3883.406520
2018:05:22:17:53:24.000,3925.380963
2018:05:22:18:03:24.000,3987.346288
2018:05:22:18:13:24.000,4067.414774
2018:05:22:18:23:24.000,4163.290267
2018:05:22:18:33:24.000,4272.416212
2018:05:22:18:43:24.000,4392.111368
2018:05:22:18:44:37.222,4407.311185
2018:05:23:00:27:12.021,4407.311188
2018:05:23:00:37:12.000,4286.503533
2018:05:23:00:47:12.000,4175.929466
2018:05:23:00:57:12.000,4078.281958
2018:05:23:01:07:12.000,3996.140090
2018:05:23:01:17:12.000,3931.840158
2018:05:23:01:27:12.000,3887.328243
2018:05:23:01:37:12.000,3864.016716
2018:05:23:01:47:12.000,3862.667752
2018:05:23:01:57:12.000,3883.326010
2018:05:23:02:07:12.000,3925.314588
2018:05:23:02:17:12.000,3987.295135
2018:05:23:02:27:12.000,4067.379425
2018:05:23:02:37:12.000,4163.270828
2018:05:23:02:47:12.000,4272.412372
2018:05:23:02:57:12.000,4392.122476
2018:05:23:02:58:25.163,4407.311741
2018:05:23:08:40:59.422,4407.311136
2018:05:23:08:50:59.000,4286.564674
2018:05:23:09:00:59.000,4175.965903
2018:05:23:09:10:59.000,4078.291681
2018:05:23:09:20:59.000,3996.121681
2018:05:23:09:30:59.000,3931.792954
2018:05:23:09:40:59.000,3887.252460
2018:05:23:09:50:59.000,3863.913525
2018:05:23:10:00:59.000,3862.539274
2018:05:23:10:10:59.000,3883.175215
2018:05:23:10:20:59.000,3925.145126
2018:05:23:10:30:59.000,3987.111113
2018:05:23:10:40:59.000,4067.185167
2018:05:23:10:50:59.000,4163.070659
2018:05:23:11:00:59.000,4272.210441
2018:05:23:11:10:59.000,4391.922628
2018:05:23:11:12:13.116,4407.311117
2018:05:23:16:54:46.740,4407.311996
2018:05:23:17:04:46.000,4286.608076
2018:05:23:17:14:46.000,4175.983364
2018:05:23:17:24:46.000,4078.281511
2018:05:23:17:34:46.000,3996.082837
2018:05:23:17:44:46.000,3931.725186
2018:05:23:17:54:46.000,3887.156431
2018:05:23:18:04:46.000,3863.790862
2018:05:23:18:14:46.000,3862.392533
2018:05:23:18:24:46.000,3883.007767
2018:05:23:18:34:46.000,3924.960959
2018:05:23:18:44:46.000,3986.914595
2018:05:23:18:54:46.000,4066.980804
2018:05:23:19:04:46.000,4162.862877
