"Time (YYYY:MM:DD)","Range (km)"
2018:05:17:13:10:53.288,4407.311754
2018:05:17:13:20:53.000,4346.391577
2018:05:17:13:30:53.000,4296.952817
2018:05:17:13:40:53.000,4260.238962
2018:05:17:13:50:53.000,4237.180157
2018:05:17:14:00:53.000,4228.374307
2018:05:17:14:10:53.000,4234.052527
2018:05:17:14:20:53.000,4254.065344
2018:05:17:14:30:53.000,4287.891649
2018:05:17:14:40:53.000,4334.669097
2018:05:17:14:50:53.000,4393.241783
2018:05:17:14:53:02.604,4407.311728
2018:05:17:21:24:42.726,4407.311665
2018:05:17:21:34:42.000,4346.479419
2018:05:17:21:44:42.000,4297.079505
2018:05:17:21:54:42.000,4260.402714
2018:05:17:22:04:42.000,4237.378189
2018:05:17:22:14:42.000,4228.602896
2018:05:17:22:24:42.000,4234.307124
2018:05:17:22:34:42.000,4254.340755
2018:05:17:22:44:42.000,4288.182238
2018:05:17:22:54:42.000,4334.969014
2018:05:17:23:04:42.000,4393.545176
2018:05:17:23:06:48.854,4407.311684
2018:05:18:05:38:32.130,4407.311582
2018:05:18:05:48:32.000,4346.468118
2018:05:18:05:58:32.000,4297.124176
2018:05:18:06:08:32.000,4260.503506
2018:05:18:06:18:32.000,4237.533817
2018:05:18:06:28:32.000,4228.810625
2018:05:18:06:38:32.000,4234.562838
2018:05:18:06:48:32.000,4254.639112
2018:05:18:06:58:32.000,4288.516895
2018:05:18:07:08:32.000,4335.332899
2018:05:18:07:18:32.000,4393.930779
2018:05:18:07:20:35.329,4407.312080
2018:05:18:13:52:21.482,4407.311893
2018:05:18:14:02:21.000,4346.540468
2018:05:18:14:12:21.000,4297.229172
2018:05:18:14:22:21.000,4260.639668
2018:05:18:14:32:21.000,4237.698826
2018:05:18:14:42:21.000,4229.001373
2018:05:18:14:52:21.000,4234.775532
2018:05:18:15:02:21.000,4254.869412
2018:05:18:15:12:21.000,4288.760094
2018:05:18:15:22:21.000,4335.584106
2018:05:18:15:32:21.000,4394.185103
2018:05:18:15:34:22.017,4407.311583
2018:05:18:22:06:10.770,4407.312044
2018:05:18:22:16:10.000,4346.602553
2018:05:18:22:26:10.000,4297.320950
2018:05:18:22:36:10.000,4260.759859
2018:05:18:22:46:10.000,4237.845390
2018:05:18:22:56:10.000,4229.171554
2018:05:18:23:06:10.000,4234.965943
2018:05:18:23:16:10.000,4255.076167
2018:05:18:23:26:10.000,4288.978964
2018:05:18:23:36:10.000,4335.810687
2018:05:18:23:46:10.000,4394.414979
2018:05:18:23:48:08.928,4407.311587
2018:05:19:06:19:59.984,4407.311583
2018:05:19:06:29:59.000,4346.652823
2018:05:19:06:39:59.000,4297.398080
2018:05:19:06:49:59.000,4260.862801
2018:05:19:06:59:59.000,4237.972411
2018:05:19:07:09:59.000,4229.320269
2018:05:19:07:19:59.000,4235.133394
2018:05:19:07:29:59.000,4255.258934
2018:05:19:07:39:59.000,4289.173302
2018:05:19:07:49:59.000,4336.012676
2018:05:19:07:59:59.000,4394.620672
2018:05:19:08:01:56.061,4407.311964
2018:05:19:14:33:49.095,4407.312018
2018:05:19:14:43:49.000,4346.597815
2018:05:19:14:53:49.000,4297.387502
2018:05:19:15:03:49.000,4260.897657
2018:05:19:15:13:49.000,4238.052575
2018:05:19:15:23:49.000,4229.444441
2018:05:19:15:33:49.000,4235.299119
2018:05:19:15:43:49.000,4255.462694
2018:05:19:15:53:49.000,4289.410671
2018:05:19:16:03:49.000,4336.278517
2018:05:19:16:13:49.000,4394.909359
2018:05:19:16:15:43.401,4407.311584
2018:05:19:22:47:38.106,4407.311608
2018:05:19:22:57:38.000,4346.620194
2018:05:19:23:07:38.000,4297.431505
2018:05:19:23:17:38.000,4260.962783
2018:05:19:23:27:38.000,4238.137778
