"Time (YYYY:MM:DD)","Range (km)"
2018:05:17:11:02:07.019,4497.331532
2018:05:17:11:12:07.000,4807.298714
2018:05:17:11:22:07.000,5136.240355
2018:05:17:11:32:07.000,5475.332644
2018:05:17:11:42:07.000,5818.460223
2018:05:17:11:52:07.000,6161.442328
2018:05:17:12:02:07.000,6501.444578
2018:05:17:12:12:07.000,6836.559393
2018:05:17:12:22:07.000,7165.516009
2018:05:17:12:32:07.000,7487.482329
2018:05:17:12:42:07.000,7801.929662
2018:05:17:12:52:07.000,8108.540027
2018:05:17:13:02:07.000,8407.142187
2018:05:17:13:12:07.000,8697.667195
2018:05:17:13:22:07.000,8980.117229
2018:05:17:13:32:07.000,9254.543618
2018:05:17:13:42:07.000,9521.031214
2018:05:17:13:52:07.000,9779.687246
2018:05:17:14:02:07.000,10030.633317
2018:05:17:14:12:07.000,10273.999661
2018:05:17:14:22:07.000,10509.921000
2018:05:17:14:32:07.000,10738.533583
2018:05:17:14:42:07.000,10959.973059
2018:05:17:14:52:07.000,11174.372977
2018:05:17:15:02:07.000,11381.863735
2018:05:17:15:12:07.000,11582.571862
2018:05:17:15:22:07.000,11776.619545
2018:05:17:15:32:07.000,11964.124338
2018:05:17:15:42:07.000,12145.198995
2018:05:17:15:52:07.000,12319.951412
2018:05:17:16:02:07.000,12488.484625
2018:05:17:16:12:07.000,12650.896867
2018:05:17:16:22:07.000,12807.281657
2018:05:17:16:32:07.000,12957.727908
2018:05:17:16:42:07.000,13102.320062
2018:05:17:16:52:07.000,13241.138224
2018:05:17:17:02:07.000,13374.258301
2018:05:17:17:12:07.000,13501.752150
2018:05:17:17:22:07.000,13623.687721
2018:05:17:17:32:07.000,13740.129188
2018:05:17:17:42:07.000,13851.137094
2018:05:17:17:52:07.000,13956.768472
2018:05:17:18:02:07.000,14057.076974
2018:05:17:18:12:07.000,14152.112984
2018:05:17:18:22:07.000,14241.923733
2018:05:17:18:32:07.000,14326.553398
2018:05:17:18:42:07.000,14406.043203
2018:05:17:18:52:07.000,14480.431512
2018:05:17:19:02:07.000,14549.753905
2018:05:17:19:12:07.000,14614.043268
2018:05:17:19:22:07.000,14673.329853
2018:05:17:19:32:07.000,14727.641355
2018:05:17:19:42:07.000,14777.002964
2018:05:17:19:52:07.000,14821.437423
2018:05:17:20:02:07.000,14860.965077
2018:05:17:20:12:07.000,14895.603917
2018:05:17:20:22:07.000,14925.369616
2018:05:17:20:32:07.000,14950.275568
2018:05:17:20:42:07.000,14970.332908
2018:05:17:20:52:07.000,14985.550542
2018:05:17:21:02:07.000,14995.935164
2018:05:17:21:12:07.000,15001.491270
2018:05:17:21:22:07.000,15002.221164
2018:05:17:21:32:07.000,14998.124967
2018:05:17:21:42:07.000,14989.200614
2018:05:17:21:52:07.000,14975.443850
2018:05:17:22:02:07.000,14956.848222
2018:05:17:22:12:07.000,14933.405059
2018:05:17:22:22:07.000,14905.103459
2018:05:17:22:32:07.000,14871.930262
2018:05:17:22:42:07.000,14833.870022
2018:05:17:22:52:07.000,14790.904970
2018:05:17:23:02:07.000,14743.014980
2018:05:17:23:12:07.000,14690.177517
2018:05:17:23:22:07.000,14632.367593
2018:05:17:23:32:07.000,14569.557710
2018:05:17:23:42:07.000,14501.717792
2018:05:17:23:52:07.000,14428.815127
2018:05:18:00:02:07.000,14350.814283
2018:05:18:00:12:07.000,14267.677034
2018:05:18:00:22:07.000,14179.362267
2018:05:18:00:32:07.000,14085.825893
2018:05:18:00:42:07.000,13987.020740
2018:05:18:00:52:07.000,13882.896446
2018:05:18:01:02:07.000,13773.399343
2018:05:18:01:12:07.000,13658.472330
2018:05:18:01:22:07.000,13538.054745
2018:05:18:01:32:07.000,13412.082222
2018:05:18:01:42:07.000,13280.486545
2018:05:18:01:52:07.000,13143.195498
2018:05:18:02:02:07.000,13000.132700
2018:05:18:02:12:07.000,12851.217447
2018:05:18:02:22:07.000,12696.364544
2018:05:18:02:32:07.000,12535.484136
2018:05:18:02:42:07.000,12368.481545
2018:05:18:02:52:07.000,12195.257118
2018:05:18:03:02:07.000,12015.706080
2018:05:18:03:12:07.000,11829.718421
2018:05:18:03:22:07.000,11637.178809
2018:05:18:03:32:07.000,11437.966561
2018:05:18:03:42:07.000,11231.955683
2018:05:18:03:52:07.000,11019.015013
2018:05:18:04:02:07.000,10799.008504
2018:05:18:04:12:07.000,10571.795710
2018:05:18:04:22:07.000,10337.232527
2018:05:18:04:32:07.000,10095.172318
2018:05:18:04:42:07.000,9845.467540
2018:05:18:04:52:07.000,9587.972073
2018:05:18:05:02:07.000,9322.544521
2018:05:18:05:12:07.000,9049.052866
2018:05:18:05:22:07.000,8767.381014
2018:05:18:05:32:07.000,8477.438007
2018:05:18:05:42:07.000,8179.171024
2018:05:18:05:52:07.000,7872.583813
2018:05:18:06:02:07.000,7557.762977
2018:05:18:06:12:07.000,7234.915728
2018:05:18:06:22:07.000,6904.424577
2018:05:18:06:32:07.000,6566.927200
2018:05:18:06:42:07.000,6223.434112
2018:05:18:06:52:07.000,5875.503260
2018:05:18:07:02:07.000,5525.500139
2018:05:18:07:12:07.000,5176.984383
2018:05:18:07:22:07.000,4835.275468
2018:05:18:07:32:07.000,4508.246287
2018:05:18:07:42:07.000,4207.326897
2018:05:18:07:44:25.496,4143.160370
2018:05:18:09:59:54.304,5427.702456
2018:05:18:10:09:54.000,5758.739241
2018:05:18:10:19:54.000,6093.207675
2018:05:18:10:29:54.000,6427.325183
2018:05:18:10:39:54.000,6758.574815
2018:05:18:10:49:54.000,7085.219944
2018:05:18:10:59:54.000,7406.074568
2018:05:18:11:09:54.000,7720.341100
2018:05:18:11:19:54.000,8027.496510
2018:05:18:11:29:54.000,8327.212352
2018:05:18:11:39:54.000,8619.298383
2018:05:18:11:49:54.000,8903.662592
2018:05:18:11:59:54.000,9180.282679
2018:05:18:12:09:54.000,9449.185586
2018:05:18:12:19:54.000,9710.432725
2018:05:18:12:29:54.000,9964.109251
2018:05:18:12:39:54.000,10210.316257
2018:05:18:12:49:54.000,10449.165072
2018:05:18:12:59:54.000,10680.773083
2018:05:18:13:09:54.000,10905.260688
2018:05:18:13:19:54.000,11122.749067
2018:05:18:13:29:54.000,11333.358569
2018:05:18:13:39:54.000,11537.207545
2018:05:18:13:49:54.000,11734.411524
2018:05:18:13:59:54.000,11925.082641
2018:05:18:14:09:54.000,12109.329244
2018:05:18:14:19:54.000,12287.255656
2018:05:18:14:29:54.000,12458.962023
2018:05:18:14:39:54.000,12624.544259
2018:05:18:14:49:54.000,12784.094029
2018:05:18:14:59:54.000,12937.698787
2018:05:18:15:09:54.000,13085.441838
2018:05:18:15:19:54.000,13227.402422
2018:05:18:15:29:54.000,13363.655808
2018:05:18:15:39:54.000,13494.273406
2018:05:18:15:49:54.000,13619.322874
2018:05:18:15:59:54.000,13738.868233
2018:05:18:16:09:54.000,13852.969981
2018:05:18:16:19:54.000,13961.685201
2018:05:18:16:29:54.000,14065.067673
2018:05:18:16:39:54.000,14163.167978
