"Time (YYYY:MM:DD)","Range (km)"
2018:05:18:14:23:03.000,12495.276058
2018:05:18:14:33:03.000,12666.093057
2018:05:18:14:43:03.000,12830.765051
2018:05:18:14:53:03.000,12989.386503
2018:05:18:15:03:03.000,13142.047254
2018:05:18:15:13:03.000,13288.832648
2018:05:18:15:23:03.000,13429.823671
2018:05:18:15:33:03.000,13565.097082
2018:05:18:15:43:03.000,13694.725562
2018:05:18:15:53:03.000,13818.777852
2018:05:18:16:03:03.000,13937.318895
2018:05:18:16:13:03.000,14050.409963
2018:05:18:16:23:03.000,14158.108798
2018:05:18:16:33:03.000,14260.469724
2018:05:18:16:43:03.000,14357.543772
2018:05:18:16:53:03.000,14449.378791
2018:05:18:17:03:03.000,14536.019549
2018:05:18:17:13:03.000,14617.507833
2018:05:18:17:23:03.000,14693.882542
2018:05:18:17:33:03.000,14765.179770
2018:05:18:17:43:03.000,14831.432887
2018:05:18:17:53:03.000,14892.672608
2018:05:18:18:03:03.000,14948.927062
2018:05:18:18:13:03.000,15000.221853
2018:05:18:18:23:03.000,15046.580115
2018:05:18:18:33:03.000,15088.022559
2018:05:18:18:43:03.000,15124.567517
2018:05:18:18:53:03.000,15156.230983
2018:05:18:19:03:03.000,15183.026645
2018:05:18:19:13:03.000,15204.965913
2018:05:18:19:23:03.000,15222.057941
2018:05:18:19:33:03.000,15234.309648
2018:05:18:19:43:03.000,15241.725726
2018:05:18:19:53:03.000,15244.308656
2018:05:18:20:03:03.000,15242.058704
2018:05:18:20:13:03.000,15234.973924
2018:05:18:20:23:03.000,15223.050150
2018:05:18:20:33:03.000,15206.280986
2018:05:18:20:43:03.000,15184.657787
2018:05:18:20:53:03.000,15158.169642
2018:05:18:21:03:03.000,15126.803342
2018:05:18:21:13:03.000,15090.543352
2018:05:18:21:23:03.000,15049.371772
2018:05:18:21:33:03.000,15003.268294
2018:05:18:21:43:03.000,14952.210153
2018:05:18:21:53:03.000,14896.172071
2018:05:18:22:03:03.000,14835.126196
2018:05:18:22:13:03.000,14769.042034
2018:05:18:22:23:03.000,14697.886371
2018:05:18:22:33:03.000,14621.623195
2018:05:18:22:43:03.000,14540.213599
2018:05:18:22:53:03.000,14453.615689
2018:05:18:23:03:03.000,14361.784472
2018:05:18:23:13:03.000,14264.671740
2018:05:18:23:23:03.000,14162.225946
2018:05:18:23:33:03.000,14054.392066
2018:05:18:23:43:03.000,13941.111452
2018:05:18:23:53:03.000,13822.321677
2018:05:19:00:03:03.000,13697.956360
2018:05:19:00:13:03.000,13567.944989
2018:05:19:00:23:03.000,13432.212724
2018:05:19:00:33:03.000,13290.680190
2018:05:19:00:43:03.000,13143.263257
2018:05:19:00:53:03.000,12989.872804
2018:05:19:01:03:03.000,12830.414476
2018:05:19:01:13:03.000,12664.788423
2018:05:19:01:23:03.000,12492.889030
2018:05:19:01:33:03.000,12314.604644
2018:05:19:01:43:03.000,12129.817288
2018:05:19:01:53:03.000,11938.402382
2018:05:19:02:03:03.000,11740.228472
2018:05:19:02:13:03.000,11535.156971
2018:05:19:02:23:03.000,11323.041945
2018:05:19:02:33:03.000,11103.729947
2018:05:19:02:43:03.000,10877.059939
2018:05:19:02:53:03.000,10642.863343
2018:05:19:03:03:03.000,10400.964280
2018:05:19:03:13:03.000,10151.180075
2018:05:19:03:23:03.000,9893.322155
2018:05:19:03:33:03.000,9627.197499
2018:05:19:03:43:03.000,9352.610881
2018:05:19:03:53:03.000,9069.368253
2018:05:19:04:03:03.000,8777.281758
2018:05:19:04:13:03.000,8476.177125
2018:05:19:04:23:03.000,8165.904510
2018:05:19:04:33:03.000,7846.354436
2018:05:19:04:43:03.000,7517.481303
2018:05:19:04:53:03.000,7179.338289
2018:05:19:05:03:03.000,6832.129615
2018:05:19:05:13:03.000,6476.289577
2018:05:19:05:23:03.000,6112.603420
2018:05:19:05:33:03.000,5742.394309
2018:05:19:05:43:03.000,5367.815475
2018:05:19:05:53:03.000,4992.309468
2018:05:19:06:03:03.000,4621.327742
2018:05:19:06:13:03.000,4263.431873
2018:05:19:06:23:03.000,3931.865624
2018:05:19:06:33:03.000,3646.406161
2018:05:19:06:33:14.456,3641.571793
2018:05:19:09:09:58.430,6838.846215
2018:05:19:09:19:58.000,7174.020773
2018:05:19:09:29:58.000,7503.157251
2018:05:19:09:39:58.000,7825.262272
2018:05:19:09:49:58.000,8139.854491
2018:05:19:09:59:58.000,8446.642848
2018:05:19:10:09:58.000,8745.470600
2018:05:19:10:19:58.000,9036.275718
2018:05:19:10:29:58.000,9319.062715
2018:05:19:10:39:58.000,9593.882505
2018:05:19:10:49:58.000,9860.817939
2018:05:19:10:59:58.000,10119.973369
2018:05:19:11:09:58.000,10371.467099
2018:05:19:11:19:58.000,10615.425912
2018:05:19:11:29:58.000,10851.981100
2018:05:19:11:39:58.000,11081.265599
2018:05:19:11:49:58.000,11303.411918
2018:05:19:11:59:58.000,11518.550664
2018:05:19:12:09:58.000,11726.809497
2018:05:19:12:19:58.000,11928.312417
2018:05:19:12:29:58.000,12123.179278
2018:05:19:12:39:58.000,12311.525485
2018:05:19:12:49:58.000,12493.461817
2018:05:19:12:59:58.000,12669.094351
2018:05:19:13:09:58.000,12838.524449
2018:05:19:13:19:58.000,13001.848800
2018:05:19:13:29:58.000,13159.159495
2018:05:19:13:39:58.000,13310.544128
2018:05:19:13:49:58.000,13456.085915
2018:05:19:13:59:58.000,13595.863819
2018:05:19:14:09:58.000,13729.952683
2018:05:19:14:19:58.000,13858.423366
2018:05:19:14:29:58.000,13981.342878
2018:05:19:14:39:58.000,14098.774510
2018:05:19:14:49:58.000,14210.777965
2018:05:19:14:59:58.000,14317.409477
2018:05:19:15:09:58.000,14418.721934
2018:05:19:15:19:58.000,14514.764989
2018:05:19:15:29:58.000,14605.585163
2018:05:19:15:39:58.000,14691.225949
2018:05:19:15:49:58.000,14771.727901
2018:05:19:15:59:58.000,14847.128727
2018:05:19:16:09:58.000,14917.463365
2018:05:19:16:19:58.000,14982.764058
2018:05:19:16:29:58.000,15043.060428
2018:05:19:16:39:58.000,15098.379531
2018:05:19:16:49:58.000,15148.745920
2018:05:19:16:59:58.000,15194.181695
2018:05:19:17:09:58.000,15234.706549
2018:05:19:17:19:58.000,15270.337806
2018:05:19:17:29:58.000,15301.090460
2018:05:19:17:39:58.000,15326.977203
2018:05:19:17:49:58.000,15348.008451
2018:05:19:17:59:58.000,15364.192364
2018:05:19:18:09:58.000,15375.534858
2018:05:19:18:19:58.000,15382.039620
2018:05:19:18:29:58.000,15383.708110
2018:05:19:18:39:58.000,15380.539561
2018:05:19:18:49:58.000,15372.530976
2018:05:19:18:59:58.000,15359.677114
2018:05:19:19:09:58.000,15341.970481
2018:05:19:19:19:58.000,15319.401304
2018:05:19:19:29:58.000,15291.957508
2018:05:19:19:39:58.000,15259.624685
2018:05:19:19:49:58.000,15222.386056
2018:05:19:19:59:58.000,15180.222429
2018:05:19:20:09:58.000,15133.112151
2018:05:19:20:19:58.000,15081.031049
2018:05:19:20:29:58.000,15023.952373
2018:05:19:20:39:58.000,14961.846724
2018:05:19:20:49:58.000,14894.681980
2018:05:19:20:59:58.000,14822.423207
2018:05:19:21:09:58.000,14745.032572
2018:05:19:21:19:58.000,14662.469239
2018:05:19:21:29:58.000,14574.689260
2018:05:19:21:39:58.000,14481.645451
2018:05:19:21:49:58.000,14383.287263
2018:05:19:21:59:58.000,14279.560642
2018:05:19:22:09:58.000,14170.407870
2018:05:19:22:19:58.000,14055.767397
2018:05:19:22:29:58.000,13935.573665
2018:05:19:22:39:58.000,13809.756903
2018:05:19:22:49:58.000,13678.242924
2018:05:19:22:59:58.000,13540.952887
2018:05:19:23:09:58.000,13397.803054
2018:05:19:23:19:58.000,13248.704527
