"Time (YYYY:MM:DD)","Range (km)","Elevation (deg)","Azimuth (deg)"
2018:05:17:21:06:21.000,2470.001241,-55.113,299.723
2018:05:17:21:07:21.000,2448.818764,-55.122,298.820
2018:05:17:21:08:21.000,2428.251545,-55.137,297.885
2018:05:17:21:09:21.000,2408.328298,-55.157,296.918
2018:05:17:21:10:21.000,2389.077674,-55.182,295.920
2018:05:17:21:11:21.000,2370.528175,-55.212,294.891
2018:05:17:21:12:21.000,2352.708051,-55.245,293.830
2018:05:17:21:13:21.000,2335.645204,-55.282,292.738
2018:05:17:21:14:21.000,2319.367070,-55.321,291.616
2018:05:17:21:15:21.000,2303.900510,-55.363,290.464
2018:05:17:21:16:21.000,2289.271686,-55.405,289.282
2018:05:17:21:17:21.000,2275.505935,-55.449,288.071
2018:05:17:21:18:21.000,2262.627647,-55.493,286.833
2018:05:17:21:19:21.000,2250.660130,-55.537,285.569
2018:05:17:21:20:21.000,2239.625484,-55.580,284.280
2018:05:17:21:21:21.000,2229.544469,-55.621,282.967
2018:05:17:21:22:21.000,2220.436384,-55.659,281.632
2018:05:17:21:23:21.000,2212.318944,-55.695,280.277
2018:05:17:21:24:21.000,2205.208160,-55.727,278.904
2018:05:17:21:25:21.000,2199.118241,-55.756,277.515
2018:05:17:21:26:21.000,2194.061488,-55.780,276.113
2018:05:17:21:27:21.000,2190.048213,-55.800,274.699
2018:05:17:21:28:21.000,2187.086661,-55.815,273.277
2018:05:17:21:29:21.000,2185.182955,-55.824,271.849
2018:05:17:21:30:21.000,2184.341044,-55.828,270.417
2018:05:17:21:31:21.000,2184.562681,-55.827,268.985
2018:05:17:21:32:21.000,2185.847406,-55.821,267.554
2018:05:17:21:33:21.000,2188.192548,-55.809,266.128
2018:05:17:21:34:21.000,2191.593248,-55.792,264.709
2018:05:17:21:35:21.000,2196.042495,-55.771,263.300
2018:05:17:21:36:21.000,2201.531175,-55.745,261.903
2018:05:17:21:37:21.000,2208.048138,-55.714,260.520
2018:05:17:21:38:21.000,2215.580278,-55.680,259.155
2018:05:17:21:39:21.000,2224.112624,-55.643,257.808
2018:05:17:21:40:21.000,2233.628441,-55.604,256.482
2018:05:17:21:41:21.000,2244.109342,-55.562,255.179
2018:05:17:21:42:21.000,2255.535405,-55.519,253.900
2018:05:17:21:43:21.000,2267.885296,-55.475,252.646
2018:05:17:21:44:21.000,2281.136396,-55.431,251.419
2018:05:17:21:45:21.000,2295.264931,-55.387,250.221
2018:05:17:21:46:21.000,2310.246104,-55.345,249.051
2018:05:17:21:47:21.000,2326.054216,-55.304,247.911
2018:05:17:21:48:21.000,2342.662800,-55.266,246.802
2018:05:17:21:49:21.000,2360.044743,-55.231,245.723
2018:05:17:21:50:21.000,2378.172401,-55.199,244.675
2018:05:17:21:51:21.000,2397.017713,-55.171,243.659
2018:05:17:21:52:21.000,2416.552313,-55.148,242.674
2018:05:17:21:53:21.000,2436.747625,-55.130,241.721
2018:05:17:21:54:21.000,2457.574962,-55.118,240.799
2018:05:17:21:55:21.000,2479.005609,-55.111,239.908
2018:05:17:21:55:55.073,2491.433320,-55.110,239.416
2018:05:18:01:17:19.154,2491.432301,-55.110,300.589
2018:05:18:01:18:19.000,2469.723012,-55.113,299.718
2018:05:18:01:19:19.000,2448.544017,-55.122,298.814
2018:05:18:01:20:19.000,2427.980583,-55.137,297.879
2018:05:18:01:21:19.000,2408.061427,-55.158,296.912
2018:05:18:01:22:19.000,2388.815205,-55.183,295.914
2018:05:18:01:23:19.000,2370.270421,-55.212,294.884
2018:05:18:01:24:19.000,2352.455329,-55.246,293.823
2018:05:18:01:25:19.000,2335.397829,-55.282,292.731
2018:05:18:01:26:19.000,2319.125360,-55.322,291.608
2018:05:18:01:27:19.000,2303.664780,-55.363,290.455
2018:05:18:01:28:19.000,2289.042249,-55.406,289.273
2018:05:18:01:29:19.000,2275.283102,-55.450,288.062
2018:05:18:01:30:19.000,2262.411723,-55.494,286.824
2018:05:18:01:31:19.000,2250.451415,-55.538,285.559
2018:05:18:01:32:19.000,2239.424270,-55.580,284.269
2018:05:18:01:33:19.000,2229.351041,-55.621,282.956
2018:05:18:01:34:19.000,2220.251016,-55.660,281.621
2018:05:18:01:35:19.000,2212.141897,-55.696,280.266
2018:05:18:01:36:19.000,2205.039685,-55.728,278.893
2018:05:18:01:37:19.000,2198.958573,-55.757,277.503
2018:05:18:01:38:19.000,2193.910848,-55.781,276.101
2018:05:18:01:39:19.000,2189.906804,-55.801,274.687
2018:05:18:01:40:19.000,2186.954670,-55.815,273.265
2018:05:18:01:41:19.000,2185.060550,-55.825,271.836
2018:05:18:01:42:19.000,2184.228373,-55.829,270.404
2018:05:18:01:43:19.000,2184.459874,-55.828,268.971
2018:05:18:01:44:19.000,2185.754569,-55.821,267.541
2018:05:18:01:45:19.000,2188.109769,-55.809,266.114
2018:05:18:01:46:19.000,2191.520593,-55.793,264.695
2018:05:18:01:47:19.000,2195.980008,-55.771,263.286
2018:05:18:01:48:19.000,2201.478878,-55.745,261.889
2018:05:18:01:49:19.000,2208.006034,-55.715,260.507
2018:05:18:01:50:19.000,2215.548349,-55.681,259.141
2018:05:18:01:51:19.000,2224.090830,-55.643,257.794
2018:05:18:01:52:19.000,2233.616725,-55.604,256.468
2018:05:18:01:53:19.000,2244.107627,-55.562,255.165
2018:05:18:01:54:19.000,2255.543595,-55.519,253.886
2018:05:18:01:55:19.000,2267.903279,-55.475,252.633
2018:05:18:01:56:19.000,2281.164046,-55.431,251.406
2018:05:18:01:57:19.000,2295.302105,-55.387,250.208
2018:05:18:01:58:19.000,2310.292645,-55.345,249.038
2018:05:18:01:59:19.000,2326.109955,-55.304,247.898
2018:05:18:02:00:19.000,2342.727558,-55.266,246.789
2018:05:18:02:01:19.000,2360.118329,-55.231,245.710
2018:05:18:02:02:19.000,2378.254613,-55.199,244.663
2018:05:18:02:03:19.000,2397.108345,-55.171,243.647
2018:05:18:02:04:19.000,2416.651149,-55.148,242.662
2018:05:18:02:05:19.000,2436.854444,-55.130,241.709
2018:05:18:02:06:19.000,2457.689537,-55.118,240.787
2018:05:18:02:07:19.000,2479.127709,-55.111,239.896
2018:05:18:02:07:52.729,2491.433321,-55.110,239.409
2018:05:18:05:29:16.391,2491.432393,-55.110,300.595
2018:05:18:05:30:16.000,2469.804170,-55.113,299.728
2018:05:18:05:31:16.000,2448.618792,-55.122,298.824
2018:05:18:05:32:16.000,2428.048800,-55.137,297.889
2018:05:18:05:33:16.000,2408.122917,-55.158,296.922
2018:05:18:05:34:16.000,2388.869803,-55.183,295.924
2018:05:18:05:35:16.000,2370.317968,-55.212,294.894
2018:05:18:05:36:16.000,2352.495671,-55.246,293.833
2018:05:18:05:37:16.000,2335.430823,-55.282,292.741
2018:05:18:05:38:16.000,2319.150868,-55.322,291.619
2018:05:18:05:39:16.000,2303.682676,-55.363,290.466
2018:05:18:05:40:16.000,2289.052416,-55.406,289.284
2018:05:18:05:41:16.000,2275.285435,-55.450,288.073
2018:05:18:05:42:16.000,2262.406128,-55.494,286.835
2018:05:18:05:43:16.000,2250.437811,-55.538,285.570
2018:05:18:05:44:16.000,2239.402590,-55.581,284.281
2018:05:18:05:45:16.000,2229.321233,-55.621,282.967
2018:05:18:05:46:16.000,2220.213042,-55.660,281.632
2018:05:18:05:47:16.000,2212.095735,-55.696,280.277
2018:05:18:05:48:16.000,2204.985330,-55.728,278.904
2018:05:18:05:49:16.000,2198.896036,-55.757,277.515
2018:05:18:05:50:16.000,2193.840156,-55.781,276.112
2018:05:18:05:51:16.000,2189.828002,-55.801,274.698
2018:05:18:05:52:16.000,2186.867821,-55.816,273.275
2018:05:18:05:53:16.000,2184.965732,-55.825,271.847
2018:05:18:05:54:16.000,2184.125684,-55.829,270.415
2018:05:18:05:55:16.000,2184.349424,-55.828,268.982
2018:05:18:05:56:16.000,2185.636488,-55.822,267.551
2018:05:18:05:57:16.000,2187.984200,-55.810,266.124
2018:05:18:05:58:16.000,2191.387696,-55.793,264.705
2018:05:18:05:59:16.000,2195.839955,-55.772,263.296
2018:05:18:06:00:16.000,2201.331856,-55.745,261.898
2018:05:18:06:01:16.000,2207.852241,-55.715,260.516
2018:05:18:06:02:16.000,2215.387994,-55.681,259.150
2018:05:18:06:03:16.000,2223.924133,-55.644,257.803
2018:05:18:06:04:16.000,2233.443914,-55.604,256.476
2018:05:18:06:05:16.000,2243.928938,-55.563,255.173
2018:05:18:06:06:16.000,2255.359272,-55.520,253.893
2018:05:18:06:07:16.000,2267.713571,-55.476,252.640
2018:05:18:06:08:16.000,2280.969205,-55.432,251.413
2018:05:18:06:09:16.000,2295.102388,-55.388,250.214
2018:05:18:06:10:16.000,2310.088311,-55.345,249.044
2018:05:18:06:11:16.000,2325.901265,-55.305,247.904
2018:05:18:06:12:16.000,2342.514772,-55.266,246.794
2018:05:18:06:13:16.000,2359.901707,-55.231,245.715
2018:05:18:06:14:16.000,2378.034415,-55.199,244.668
2018:05:18:06:15:16.000,2396.884828,-55.172,243.651
2018:05:18:06:16:16.000,2416.424567,-55.148,242.666
2018:05:18:06:17:16.000,2436.625049,-55.130,241.713
2018:05:18:06:18:16.000,2457.457576,-55.118,240.791
2018:05:18:06:19:16.000,2478.893426,-55.111,239.900
2018:05:18:06:19:50.370,2491.433321,-55.110,239.403
2018:05:18:09:41:13.633,2491.432488,-55.110,300.601
2018:05:18:09:42:13.000,2469.886991,-55.113,299.737
