"Time (YYYY:MM:DD)","Range (km)","Elevation (deg)","Azimuth (deg)"
2018:05:24:16:51:40.625,2491.433320,-55.110,300.590
2018:05:24:16:52:40.000,2469.893224,-55.113,299.726
2018:05:24:16:53:40.000,2448.709995,-55.122,298.822
2018:05:24:16:54:40.000,2428.142127,-55.137,297.887
2018:05:24:16:55:40.000,2408.218339,-55.157,296.920
2018:05:24:16:56:40.000,2388.967284,-55.183,295.922
2018:05:24:16:57:40.000,2370.417467,-55.212,294.892
2018:05:24:16:58:40.000,2352.597143,-55.245,293.831
2018:05:24:16:59:40.000,2335.534215,-55.282,292.740
2018:05:24:17:00:40.000,2319.256124,-55.321,291.617
2018:05:24:17:01:40.000,2303.789731,-55.363,290.465
2018:05:24:17:02:40.000,2289.161200,-55.406,289.283
2018:05:24:17:03:40.000,2275.395873,-55.450,288.072
2018:05:24:17:04:40.000,2262.518138,-55.494,286.834
2018:05:24:17:05:40.000,2250.551305,-55.537,285.569
2018:05:24:17:06:40.000,2239.517474,-55.580,284.280
2018:05:24:17:07:40.000,2229.437407,-55.621,282.967
2018:05:24:17:08:40.000,2220.330402,-55.660,281.632
2018:05:24:17:09:40.000,2212.214171,-55.695,280.277
2018:05:24:17:10:40.000,2205.104726,-55.728,278.903
2018:05:24:17:11:40.000,2199.016272,-55.756,277.515
2018:05:24:17:12:40.000,2193.961109,-55.781,276.112
2018:05:24:17:13:40.000,2189.949545,-55.800,274.698
2018:05:24:17:14:40.000,2186.989822,-55.815,273.276
2018:05:24:17:15:40.000,2185.088057,-55.825,271.847
2018:05:24:17:16:40.000,2184.248197,-55.829,270.416
2018:05:24:17:17:40.000,2184.471989,-55.828,268.983
2018:05:24:17:18:40.000,2185.758965,-55.821,267.552
2018:05:24:17:19:40.000,2188.106452,-55.810,266.126
2018:05:24:17:20:40.000,2191.509582,-55.793,264.707
2018:05:24:17:21:40.000,2195.961338,-55.771,263.298
2018:05:24:17:22:40.000,2201.452599,-55.745,261.900
2018:05:24:17:23:40.000,2207.972208,-55.715,260.518
2018:05:24:17:24:40.000,2215.507052,-55.681,259.152
2018:05:24:17:25:40.000,2224.042152,-55.644,257.805
2018:05:24:17:26:40.000,2233.560767,-55.604,256.479
2018:05:24:17:27:40.000,2244.044502,-55.562,255.176
2018:05:24:17:28:40.000,2255.473426,-55.519,253.897
2018:05:24:17:29:40.000,2267.826200,-55.475,252.643
2018:05:24:17:30:40.000,2281.080198,-55.431,251.416
2018:05:24:17:31:40.000,2295.211640,-55.388,250.218
2018:05:24:17:32:40.000,2310.195719,-55.345,249.048
2018:05:24:17:33:40.000,2326.006733,-55.304,247.908
2018:05:24:17:34:40.000,2342.618209,-55.266,246.798
2018:05:24:17:35:40.000,2360.003026,-55.231,245.720
2018:05:24:17:36:40.000,2378.133536,-55.199,244.672
2018:05:24:17:37:40.000,2396.981674,-55.171,243.656
2018:05:24:17:38:40.000,2416.519068,-55.148,242.671
2018:05:24:17:39:40.000,2436.717138,-55.130,241.717
2018:05:24:17:40:40.000,2457.547193,-55.118,240.795
2018:05:24:17:41:40.000,2478.980514,-55.111,239.905
2018:05:24:17:42:14.133,2491.431671,-55.110,239.412
2018:05:24:21:03:38.278,2491.433319,-55.110,300.584
2018:05:24:21:04:38.000,2469.772703,-55.113,299.715
2018:05:24:21:05:38.000,2448.596902,-55.122,298.810
2018:05:24:21:06:38.000,2428.036690,-55.137,297.875
2018:05:24:21:07:38.000,2408.120779,-55.158,296.908
2018:05:24:21:08:38.000,2388.877820,-55.183,295.910
2018:05:24:21:09:38.000,2370.336309,-55.212,294.880
2018:05:24:21:10:38.000,2352.524496,-55.245,293.819
2018:05:24:21:11:38.000,2335.470275,-55.282,292.727
2018:05:24:21:12:38.000,2319.201076,-55.321,291.604
2018:05:24:21:13:38.000,2303.743752,-55.363,290.452
2018:05:24:21:14:38.000,2289.124455,-55.406,289.270
2018:05:24:21:15:38.000,2275.368512,-55.450,288.059
2018:05:24:21:16:38.000,2262.500299,-55.494,286.821
2018:05:24:21:17:38.000,2250.543112,-55.537,285.556
2018:05:24:21:18:38.000,2239.519033,-55.580,284.266
2018:05:24:21:19:38.000,2229.448809,-55.621,282.953
2018:05:24:21:20:38.000,2220.351718,-55.660,281.618
2018:05:24:21:21:38.000,2212.245455,-55.695,280.263
2018:05:24:21:22:38.000,2205.146012,-55.728,278.890
2018:05:24:21:23:38.000,2199.067575,-55.756,277.501
2018:05:24:21:24:38.000,2194.022423,-55.780,276.098
2018:05:24:21:25:38.000,2190.020842,-55.800,274.685
2018:05:24:21:26:38.000,2187.071055,-55.815,273.263
2018:05:24:21:27:38.000,2185.179158,-55.824,271.834
2018:05:24:21:28:38.000,2184.349076,-55.828,270.402
2018:05:24:21:29:38.000,2184.582536,-55.827,268.970
2018:05:24:21:30:38.000,2185.879051,-55.821,267.539
2018:05:24:21:31:38.000,2188.235925,-55.809,266.113
2018:05:24:21:32:38.000,2191.648276,-55.792,264.695
2018:05:24:21:33:38.000,2196.109065,-55.770,263.286
2018:05:24:21:34:38.000,2201.609157,-55.744,261.889
2018:05:24:21:35:38.000,2208.137378,-55.714,260.507
2018:05:24:21:36:38.000,2215.680600,-55.680,259.141
2018:05:24:21:37:38.000,2224.223831,-55.643,257.795
2018:05:24:21:38:38.000,2233.750317,-55.603,256.469
2018:05:24:21:39:38.000,2244.241653,-55.562,255.166
2018:05:24:21:40:38.000,2255.677900,-55.518,253.887
2018:05:24:21:41:38.000,2268.037709,-55.475,252.634
2018:05:24:21:42:38.000,2281.298447,-55.430,251.407
2018:05:24:21:43:38.000,2295.436329,-55.387,250.209
2018:05:24:21:44:38.000,2310.426545,-55.345,249.040
2018:05:24:21:45:38.000,2326.243389,-55.304,247.900
2018:05:24:21:46:38.000,2342.860386,-55.266,246.791
2018:05:24:21:47:38.000,2360.250415,-55.230,245.713
2018:05:24:21:48:38.000,2378.385827,-55.199,244.665
2018:05:24:21:49:38.000,2397.238559,-55.171,243.649
2018:05:24:21:50:38.000,2416.780242,-55.148,242.665
2018:05:24:21:51:38.000,2436.982298,-55.130,241.712
2018:05:24:21:52:38.000,2457.816040,-55.118,240.790
2018:05:24:21:53:38.000,2479.252753,-55.111,239.900
2018:05:24:21:54:11.387,2491.431638,-55.110,239.418
2018:05:25:01:15:35.944,2491.433319,-55.110,300.578
2018:05:25:01:16:35.000,2470.015126,-55.113,299.718
2018:05:25:01:17:35.000,2448.836743,-55.122,298.814
2018:05:25:01:18:35.000,2428.273693,-55.137,297.879
2018:05:25:01:19:35.000,2408.354685,-55.157,296.913
2018:05:25:01:20:35.000,2389.108364,-55.182,295.915
2018:05:25:01:21:35.000,2370.563226,-55.212,294.885
2018:05:25:01:22:35.000,2352.747516,-55.245,293.825
2018:05:25:01:23:35.000,2335.689127,-55.282,292.733
2018:05:25:01:24:35.000,2319.415490,-55.321,291.611
2018:05:25:01:25:35.000,2303.953455,-55.362,290.458
2018:05:25:01:26:35.000,2289.329177,-55.405,289.276
2018:05:25:01:27:35.000,2275.567985,-55.449,288.066
2018:05:25:01:28:35.000,2262.694257,-55.493,286.828
2018:05:25:01:29:35.000,2250.731294,-55.537,285.564
2018:05:25:01:30:35.000,2239.701184,-55.579,284.275
2018:05:25:01:31:35.000,2229.624678,-55.620,282.962
2018:05:25:01:32:35.000,2220.521064,-55.659,281.627
2018:05:25:01:33:35.000,2212.408045,-55.695,280.272
2018:05:25:01:34:35.000,2205.301624,-55.727,278.899
2018:05:25:01:35:35.000,2199.215996,-55.755,277.511
2018:05:25:01:36:35.000,2194.163453,-55.780,276.108
2018:05:25:01:37:35.000,2190.154295,-55.799,274.695
2018:05:25:01:38:35.000,2187.196759,-55.814,273.273
2018:05:25:01:39:35.000,2185.296956,-55.824,271.845
2018:05:25:01:40:35.000,2184.458827,-55.828,270.413
2018:05:25:01:41:35.000,2184.684114,-55.827,268.981
2018:05:25:01:42:35.000,2185.972349,-55.820,267.551
2018:05:25:01:43:35.000,2188.320853,-55.808,266.125
2018:05:25:01:44:35.000,2191.724760,-55.792,264.706
2018:05:25:01:45:35.000,2196.177052,-55.770,263.297
2018:05:25:01:46:35.000,2201.668610,-55.744,261.900
2018:05:25:01:47:35.000,2208.188277,-55.714,260.518
2018:05:25:01:48:35.000,2215.722944,-55.680,259.153
2018:05:25:01:49:35.000,2224.257636,-55.643,257.806
2018:05:25:01:50:35.000,2233.775615,-55.603,256.481
2018:05:25:01:51:35.000,2244.258492,-55.561,255.178
2018:05:25:01:52:35.000,2255.686343,-55.518,253.899
2018:05:25:01:53:35.000,2268.037835,-55.475,252.645
2018:05:25:01:54:35.000,2281.290349,-55.430,251.419
2018:05:25:01:55:35.000,2295.420111,-55.387,250.221
2018:05:25:01:56:35.000,2310.402325,-55.345,249.051
2018:05:25:01:57:35.000,2326.211295,-55.304,247.911
2018:05:25:01:58:35.000,2342.820557,-55.266,246.802
2018:05:25:01:59:35.000,2360.202999,-55.231,245.723
2018:05:25:02:00:35.000,2378.330981,-55.199,244.676
2018:05:25:02:01:35.000,2397.176446,-55.171,243.660
2018:05:25:02:02:35.000,2416.711033,-55.148,242.675
2018:05:25:02:03:35.000,2436.906169,-55.130,241.722
2018:05:25:02:04:35.000,2457.733171,-55.118,240.800
2018:05:25:02:05:35.000,2479.163330,-55.111,239.909
2018:05:25:02:06:08.640,2491.431613,-55.110,239.424
2018:05:25:05:27:33.624,2491.433319,-55.110,300.571
2018:05:25:05:28:33.000,2469.904593,-55.113,299.707
2018:05:25:05:29:33.000,2448.733650,-55.122,298.803
2018:05:25:05:30:33.000,2428.178258,-55.137,297.868
2018:05:25:05:31:33.000,2408.267121,-55.157,296.901
2018:05:25:05:32:33.000,2389.028880,-55.182,295.903
2018:05:25:05:33:33.000,2370.492024,-55.212,294.873
2018:05:25:05:34:33.000,2352.684789,-55.245,293.812
2018:05:25:05:35:33.000,2335.635062,-55.282,292.720
2018:05:25:05:36:33.000,2319.370262,-55.321,291.598
2018:05:25:05:37:33.000,2303.917230,-55.362,290.445
2018:05:25:05:38:33.000,2289.302108,-55.405,289.263
2018:05:25:05:39:33.000,2275.550213,-55.449,288.053
2018:05:25:05:40:33.000,2262.685910,-55.493,286.815
2018:05:25:05:41:33.000,2250.732482,-55.537,285.551
2018:05:25:05:42:33.000,2239.712004,-55.579,284.261
2018:05:25:05:43:33.000,2229.645209,-55.620,282.948
2018:05:25:05:44:33.000,2220.551367,-55.659,281.613
2018:05:25:05:45:33.000,2212.448163,-55.694,280.259
2018:05:25:05:46:33.000,2205.351580,-55.727,278.886
2018:05:25:05:47:33.000,2199.275795,-55.755,277.497
2018:05:25:05:48:33.000,2194.233078,-55.779,276.095
2018:05:25:05:49:33.000,2190.233710,-55.799,274.682
2018:05:25:05:50:33.000,2187.285906,-55.814,273.260
2018:05:25:05:51:33.000,2185.395756,-55.823,271.832
2018:05:25:05:52:33.000,2184.567183,-55.827,270.401
2018:05:25:05:53:33.000,2184.801907,-55.826,268.968
2018:05:25:05:54:33.000,2186.099441,-55.820,267.538
2018:05:25:05:55:33.000,2188.457088,-55.808,266.113
2018:05:25:05:56:33.000,2191.869962,-55.791,264.694
2018:05:25:05:57:33.000,2196.331029,-55.769,263.286
2018:05:25:05:58:33.000,2201.831152,-55.743,261.889
2018:05:25:05:59:33.000,2208.359160,-55.713,260.507
2018:05:25:06:00:33.000,2215.901931,-55.679,259.142
2018:05:25:06:01:33.000,2224.444475,-55.642,257.796
2018:05:25:06:02:33.000,2233.970045,-55.602,256.471
2018:05:25:06:03:33.000,2244.460239,-55.561,255.168
2018:05:25:06:04:33.000,2255.895127,-55.518,253.889
2018:05:25:06:05:33.000,2268.253366,-55.474,252.636
2018:05:25:06:06:33.000,2281.512331,-55.430,251.410
2018:05:25:06:07:33.000,2295.648246,-55.386,250.212
2018:05:25:06:08:33.000,2310.636307,-55.344,249.043
2018:05:25:06:09:33.000,2326.450820,-55.303,247.904
2018:05:25:06:10:33.000,2343.065316,-55.265,246.795
2018:05:25:06:11:33.000,2360.452685,-55.230,245.717
2018:05:25:06:12:33.000,2378.585287,-55.198,244.670
2018:05:25:06:13:33.000,2397.435067,-55.171,243.654
2018:05:25:06:14:33.000,2416.973665,-55.148,242.670
2018:05:25:06:15:33.000,2437.172514,-55.130,241.717
2018:05:25:06:16:33.000,2458.002933,-55.118,240.795
2018:05:25:06:17:33.000,2479.436217,-55.111,239.905
2018:05:25:06:18:05.892,2491.431594,-55.110,239.430
2018:05:25:09:39:31.317,2491.433319,-55.110,300.565
2018:05:25:09:40:31.000,2469.799021,-55.113,299.696
2018:05:25:09:41:31.000,2448.635517,-55.122,298.792
2018:05:25:09:42:31.000,2428.087778,-55.137,297.856
2018:05:25:09:43:31.000,2408.184503,-55.158,296.889
2018:05:25:09:44:31.000,2388.954327,-55.183,295.891
2018:05:25:09:45:31.000,2370.425732,-55.212,294.861
2018:05:25:09:46:31.000,2352.626949,-55.245,293.800
2018:05:25:09:47:31.000,2335.585853,-55.282,292.708
2018:05:25:09:48:31.000,2319.329855,-55.321,291.585
2018:05:25:09:49:31.000,2303.885786,-55.363,290.433
2018:05:25:09:50:31.000,2289.279775,-55.405,289.251
2018:05:25:09:51:31.000,2275.537126,-55.449,288.040
2018:05:25:09:52:31.000,2262.682191,-55.493,286.802
2018:05:25:09:53:31.000,2250.738237,-55.537,285.537
2018:05:25:09:54:31.000,2239.727323,-55.579,284.248
2018:05:25:09:55:31.000,2229.670166,-55.620,282.935
2018:05:25:09:56:31.000,2220.586019,-55.659,281.600
2018:05:25:09:57:31.000,2212.492546,-55.694,280.245
2018:05:25:09:58:31.000,2205.405712,-55.726,278.873
2018:05:25:09:59:31.000,2199.339675,-55.755,277.484
2018:05:25:10:00:31.000,2194.306684,-55.779,276.082
2018:05:25:10:01:31.000,2190.317001,-55.799,274.669
2018:05:25:10:02:31.000,2187.378820,-55.813,273.247
2018:05:25:10:03:31.000,2185.498211,-55.823,271.819
2018:05:25:10:04:31.000,2184.679075,-55.827,270.388
2018:05:25:10:05:31.000,2184.923115,-55.825,268.956
2018:05:25:10:06:31.000,2186.229823,-55.819,267.526
2018:05:25:10:07:31.000,2188.596482,-55.807,266.101
2018:05:25:10:08:31.000,2192.018191,-55.790,264.683
2018:05:25:10:09:31.000,2196.487897,-55.769,263.274
2018:05:25:10:10:31.000,2201.996448,-55.742,261.878
2018:05:25:10:11:31.000,2208.532658,-55.712,260.496
2018:05:25:10:12:31.000,2216.083390,-55.678,259.132
2018:05:25:10:13:31.000,2224.633643,-55.641,257.786
2018:05:25:10:14:31.000,2234.166657,-55.602,256.461
2018:05:25:10:15:31.000,2244.664023,-55.560,255.158
2018:05:25:10:16:31.000,2256.105800,-55.517,253.880
2018:05:25:10:17:31.000,2268.470638,-55.473,252.628
2018:05:25:10:18:31.000,2281.735908,-55.429,251.402
2018:05:25:10:19:31.000,2295.877827,-55.386,250.205
2018:05:25:10:20:31.000,2310.871590,-55.343,249.036
2018:05:25:10:21:31.000,2326.691498,-55.303,247.897
2018:05:25:10:22:31.000,2343.311084,-55.265,246.788
2018:05:25:10:23:31.000,2360.703236,-55.230,245.710
2018:05:25:10:24:31.000,2378.840315,-55.198,244.664
2018:05:25:10:25:31.000,2397.694269,-55.170,243.648
2018:05:25:10:26:31.000,2417.236739,-55.148,242.664
2018:05:25:10:27:31.000,2437.439162,-55.130,241.712
2018:05:25:10:28:31.000,2458.272863,-55.117,240.791
2018:05:25:10:29:31.000,2479.709139,-55.111,239.901
2018:05:25:10:30:03.145,2491.431583,-55.110,239.437
2018:05:25:13:51:29.023,2491.433319,-55.110,300.558
2018:05:25:13:52:29.000,2469.698339,-55.113,299.685
2018:05:25:13:53:29.000,2448.542267,-55.122,298.781
2018:05:25:13:54:29.000,2428.002169,-55.137,297.845
2018:05:25:13:55:29.000,2408.106740,-55.158,296.878
2018:05:25:13:56:29.000,2388.884609,-55.183,295.879
2018:05:25:13:57:29.000,2370.364251,-55.212,294.849
2018:05:25:13:58:29.000,2352.573889,-55.245,293.788
2018:05:25:13:59:29.000,2335.541389,-55.282,292.696
2018:05:25:14:00:29.000,2319.294153,-55.321,291.573
2018:05:25:14:01:29.000,2303.859001,-55.363,290.420
2018:05:25:14:02:29.000,2289.262050,-55.406,289.238
2018:05:25:14:03:29.000,2275.528590,-55.449,288.027
2018:05:25:14:04:29.000,2262.682960,-55.493,286.789
2018:05:25:14:05:29.000,2250.748414,-55.537,285.524
2018:05:25:14:06:29.000,2239.746991,-55.579,284.235
2018:05:25:14:07:29.000,2229.699394,-55.620,282.922
2018:05:25:14:08:29.000,2220.624857,-55.658,281.587
2018:05:25:14:09:29.000,2212.541026,-55.694,280.232
2018:05:25:14:10:29.000,2205.463848,-55.726,278.859
2018:05:25:14:11:29.000,2199.407460,-55.755,277.471
2018:05:25:14:12:29.000,2194.384093,-55.779,276.069
2018:05:25:14:13:29.000,2190.403986,-55.798,274.656
2018:05:25:14:14:29.000,2187.475315,-55.813,273.234
2018:05:25:14:15:29.000,2185.604129,-55.822,271.807
2018:05:25:14:16:29.000,2184.794309,-55.826,270.376
2018:05:25:14:17:29.000,2185.047539,-55.825,268.944
2018:05:25:14:18:29.000,2186.363292,-55.818,267.514
2018:05:25:14:19:29.000,2188.738832,-55.806,266.089
2018:05:25:14:20:29.000,2192.169241,-55.789,264.671
2018:05:25:14:21:29.000,2196.647448,-55.768,263.263
2018:05:25:14:22:29.000,2202.164287,-55.742,261.867
2018:05:25:14:23:29.000,2208.708556,-55.711,260.486
2018:05:25:14:24:29.000,2216.267105,-55.677,259.121
2018:05:25:14:25:29.000,2224.824922,-55.640,257.776
2018:05:25:14:26:29.000,2234.365235,-55.601,256.451
2018:05:25:14:27:29.000,2244.869625,-55.559,255.149
2018:05:25:14:28:29.000,2256.318143,-55.516,253.871
2018:05:25:14:29:29.000,2268.689433,-55.472,252.619
2018:05:25:14:30:29.000,2281.960860,-55.428,251.394
2018:05:25:14:31:29.000,2296.108636,-55.385,250.197
2018:05:25:14:32:29.000,2311.107954,-55.343,249.029
2018:05:25:14:33:29.000,2326.933112,-55.302,247.890
2018:05:25:14:34:29.000,2343.557642,-55.264,246.782
2018:05:25:14:35:29.000,2360.954433,-55.229,245.704
2018:05:25:14:36:29.000,2379.095848,-55.198,244.658
2018:05:25:14:37:29.000,2397.953835,-55.170,243.643
2018:05:25:14:38:29.000,2417.500040,-55.147,242.659
2018:05:25:14:39:29.000,2437.705902,-55.130,241.707
2018:05:25:14:40:29.000,2458.542750,-55.117,240.786
2018:05:25:14:41:29.000,2479.981887,-55.111,239.897
2018:05:25:14:42:00.400,2491.432259,-55.110,239.443
2018:05:25:18:03:26.742,2491.433319,-55.110,300.551
2018:05:25:18:04:26.000,2469.960001,-55.113,299.689
2018:05:25:18:05:26.000,2448.801322,-55.122,298.785
2018:05:25:18:06:26.000,2428.258344,-55.137,297.849
2018:05:25:18:07:26.000,2408.359757,-55.157,296.882
2018:05:25:18:08:26.000,2389.134186,-55.182,295.884
2018:05:25:18:09:26.000,2370.610102,-55.212,294.854
2018:05:25:18:10:26.000,2352.815726,-55.245,293.794
2018:05:25:18:11:26.000,2335.778922,-55.281,292.702
2018:05:25:18:12:26.000,2319.527090,-55.321,291.579
2018:05:25:18:13:26.000,2304.087050,-55.362,290.427
2018:05:25:18:14:26.000,2289.484920,-55.405,289.245
2018:05:25:18:15:26.000,2275.745993,-55.449,288.035
2018:05:25:18:16:26.000,2262.894609,-55.492,286.797
2018:05:25:18:17:26.000,2250.954026,-55.536,285.533
2018:05:25:18:18:26.000,2239.946290,-55.578,284.243
2018:05:25:18:19:26.000,2229.892110,-55.619,282.931
2018:05:25:18:20:26.000,2220.810727,-55.658,281.596
2018:05:25:18:21:26.000,2212.719798,-55.693,280.242
2018:05:25:18:22:26.000,2205.635279,-55.725,278.869
2018:05:25:18:23:26.000,2199.571318,-55.754,277.481
2018:05:25:18:24:26.000,2194.540160,-55.778,276.080
2018:05:25:18:25:26.000,2190.552058,-55.797,274.667
2018:05:25:18:26:26.000,2187.615201,-55.812,273.245
2018:05:25:18:27:26.000,2185.735657,-55.821,271.818
2018:05:25:18:28:26.000,2184.917321,-55.825,270.387
2018:05:25:18:29:26.000,2185.161896,-55.824,268.956
2018:05:25:18:30:26.000,2186.468871,-55.818,267.526
2018:05:25:18:31:26.000,2188.835532,-55.806,266.101
2018:05:25:18:32:26.000,2192.256977,-55.789,264.683
2018:05:25:18:33:26.000,2196.726156,-55.767,263.275
2018:05:25:18:34:26.000,2202.233919,-55.741,261.879
2018:05:25:18:35:26.000,2208.769086,-55.711,260.498
2018:05:25:18:36:26.000,2216.318525,-55.677,259.134
2018:05:25:18:37:26.000,2224.867241,-55.640,257.788
2018:05:25:18:38:26.000,2234.398481,-55.601,256.464
2018:05:25:18:39:26.000,2244.893843,-55.559,255.162
2018:05:25:18:40:26.000,2256.333395,-55.516,253.884
2018:05:25:18:41:26.000,2268.695797,-55.472,252.632
2018:05:25:18:42:26.000,2281.958427,-55.428,251.406
2018:05:25:18:43:26.000,2296.097513,-55.385,250.209
2018:05:25:18:44:26.000,2311.088260,-55.343,249.041
2018:05:25:18:45:26.000,2326.904979,-55.302,247.902
2018:05:25:18:46:26.000,2343.521213,-55.264,246.793
2018:05:25:18:47:26.000,2360.909861,-55.229,245.716
2018:05:25:18:48:26.000,2379.043294,-55.198,244.669
2018:05:25:18:49:26.000,2397.893470,-55.170,243.654
2018:05:25:18:50:26.000,2417.432041,-55.147,242.670
2018:05:25:18:51:26.000,2437.630453,-55.130,241.718
2018:05:25:18:52:26.000,2458.460040,-55.117,240.797
2018:05:25:18:53:26.000,2479.892111,-55.111,239.907
2018:05:25:18:53:57.658,2491.433303,-55.110,239.450
2018:05:25:22:15:24.474,2491.433319,-55.110,300.544
2018:05:25:22:16:24.000,2469.868728,-55.113,299.678
2018:05:25:22:17:24.000,2448.717448,-55.122,298.773
2018:05:25:22:18:24.000,2428.182070,-55.137,297.838
2018:05:25:22:19:24.000,2408.291277,-55.157,296.871
2018:05:25:22:20:24.000,2389.073690,-55.182,295.872
2018:05:25:22:21:24.000,2370.557773,-55.212,294.842
2018:05:25:22:22:24.000,2352.771737,-55.245,293.781
2018:05:25:22:23:24.000,2335.743439,-55.282,292.689
2018:05:25:22:24:24.000,2319.500269,-55.321,291.567
2018:05:25:22:25:24.000,2304.069035,-55.362,290.414
2018:05:25:22:26:24.000,2289.475844,-55.405,289.232
2018:05:25:22:27:24.000,2275.745976,-55.449,288.022
2018:05:25:22:28:24.000,2262.903757,-55.492,286.784
2018:05:25:22:29:24.000,2250.972429,-55.536,285.520
2018:05:25:22:30:24.000,2239.974023,-55.578,284.230
2018:05:25:22:31:24.000,2229.929231,-55.619,282.918
2018:05:25:22:32:24.000,2220.857277,-55.657,281.583
2018:05:25:22:33:24.000,2212.775799,-55.693,280.229
2018:05:25:22:34:24.000,2205.700734,-55.725,278.857
2018:05:25:22:35:24.000,2199.646212,-55.753,277.468
2018:05:25:22:36:24.000,2194.624457,-55.778,276.067
2018:05:25:22:37:24.000,2190.645704,-55.797,274.654
2018:05:25:22:38:24.000,2187.718121,-55.811,273.233
2018:05:25:22:39:24.000,2185.847756,-55.821,271.806
2018:05:25:22:40:24.000,2185.038487,-55.825,270.375
2018:05:25:22:41:24.000,2185.291994,-55.824,268.944
2018:05:25:22:42:24.000,2186.607751,-55.817,267.514
2018:05:25:22:43:24.000,2188.983023,-55.805,266.090
2018:05:25:22:44:24.000,2192.412894,-55.788,264.672
2018:05:25:22:45:24.000,2196.890295,-55.767,263.264
2018:05:25:22:46:24.000,2202.406064,-55.740,261.869
2018:05:25:22:47:24.000,2208.949005,-55.710,260.488
2018:05:25:22:48:24.000,2216.505974,-55.676,259.124
2018:05:25:22:49:24.000,2225.061963,-55.639,257.779
2018:05:25:22:50:24.000,2234.600211,-55.600,256.455
2018:05:25:22:51:24.000,2245.102306,-55.558,255.153
2018:05:25:22:52:24.000,2256.548307,-55.515,253.875
2018:05:25:22:53:24.000,2268.916869,-55.471,252.624
2018:05:25:22:54:24.000,2282.185366,-55.428,251.399
2018:05:25:22:55:24.000,2296.330021,-55.384,250.202
2018:05:25:22:56:24.000,2311.326036,-55.342,249.034
2018:05:25:22:57:24.000,2327.147720,-55.302,247.895
2018:05:25:22:58:24.000,2343.768618,-55.264,246.787
2018:05:25:22:59:24.000,2361.161627,-55.229,245.710
2018:05:25:23:00:24.000,2379.299121,-55.197,244.664
2018:05:25:23:01:24.000,2398.153060,-55.170,243.649
2018:05:25:23:02:24.000,2417.695100,-55.147,242.666
2018:05:25:23:03:24.000,2437.896689,-55.129,241.714
2018:05:25:23:04:24.000,2458.729166,-55.117,240.793
2018:05:25:23:05:24.000,2480.163846,-55.111,239.903
2018:05:25:23:05:54.914,2491.433237,-55.110,239.457
2018:05:26:02:27:22.218,2491.433319,-55.110,300.537
2018:05:26:02:28:22.000,2469.782084,-55.113,299.667
2018:05:26:02:29:22.000,2448.638180,-55.122,298.762
2018:05:26:02:30:22.000,2428.110373,-55.137,297.826
2018:05:26:02:31:22.000,2408.227343,-55.157,296.859
2018:05:26:02:32:22.000,2389.017702,-55.182,295.861
2018:05:26:02:33:22.000,2370.509909,-55.212,294.831
2018:05:26:02:34:22.000,2352.732167,-55.245,293.769
2018:05:26:02:35:22.000,2335.712324,-55.282,292.677
2018:05:26:02:36:22.000,2319.477759,-55.321,291.554
2018:05:26:02:37:22.000,2304.055270,-55.362,290.402
2018:05:26:02:38:22.000,2289.470951,-55.405,289.220
2018:05:26:02:39:22.000,2275.750069,-55.449,288.009
2018:05:26:02:40:22.000,2262.916937,-55.492,286.771
2018:05:26:02:41:22.000,2250.994781,-55.536,285.507
2018:05:26:02:42:22.000,2240.005619,-55.578,284.218
2018:05:26:02:43:22.000,2229.970122,-55.619,282.905
2018:05:26:02:44:22.000,2220.907499,-55.657,281.570
2018:05:26:02:45:22.000,2212.835369,-55.693,280.216
2018:05:26:02:46:22.000,2205.769652,-55.725,278.844
2018:05:26:02:47:22.000,2199.724457,-55.753,277.456
2018:05:26:02:48:22.000,2194.711991,-55.777,276.054
2018:05:26:02:49:22.000,2190.742466,-55.796,274.642
2018:05:26:02:50:22.000,2187.824034,-55.811,273.221
2018:05:26:02:51:22.000,2185.962721,-55.820,271.793
2018:05:26:02:52:22.000,2185.162386,-55.824,270.363
2018:05:26:02:53:22.000,2185.424692,-55.823,268.932
2018:05:26:02:54:22.000,2186.749093,-55.816,267.503
2018:05:26:02:55:22.000,2189.132838,-55.804,266.078
2018:05:26:02:56:22.000,2192.570992,-55.787,264.661
2018:05:26:02:57:22.000,2197.056473,-55.766,263.254
2018:05:26:02:58:22.000,2202.580102,-55.740,261.859
2018:05:26:02:59:22.000,2209.130671,-55.709,260.478
2018:05:26:03:00:22.000,2216.695021,-55.676,259.114
2018:05:26:03:01:22.000,2225.258136,-55.639,257.770
2018:05:26:03:02:22.000,2234.803243,-55.599,256.446
2018:05:26:03:03:22.000,2245.311921,-55.557,255.144
2018:05:26:03:04:22.000,2256.764224,-55.514,253.867
2018:05:26:03:05:22.000,2269.138799,-55.471,252.616
2018:05:26:03:06:22.000,2282.413015,-55.427,251.391
2018:05:26:03:07:22.000,2296.563092,-55.384,250.195
2018:05:26:03:08:22.000,2311.564230,-55.341,249.027
2018:05:26:03:09:22.000,2327.390738,-55.301,247.889
2018:05:26:03:10:22.000,2344.016157,-55.263,246.781
2018:05:26:03:11:22.000,2361.413388,-55.228,245.704
2018:05:26:03:12:22.000,2379.554806,-55.197,244.659
2018:05:26:03:13:22.000,2398.412373,-55.170,243.644
2018:05:26:03:14:22.000,2417.957748,-55.147,242.661
2018:05:26:03:15:22.000,2438.162384,-55.129,241.709
