"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:10:35:28.846,2018:05:17:11:26:00.864,3032.017
2018:05:17:14:47:26.074,2018:05:17:15:37:58.559,3032.485
2018:05:17:18:59:23.304,2018:05:17:19:49:56.239,3032.935
2018:05:17:23:11:20.537,2018:05:18:00:01:53.903,3033.366
2018:05:18:03:23:17.772,2018:05:18:04:13:51.552,3033.779
2018:05:18:07:35:15.011,2018:05:18:08:25:49.185,3034.173
2018:05:18:11:47:12.255,2018:05:18:12:37:46.802,3034.547
2018:05:18:15:59:09.504,2018:05:18:16:49:44.404,3034.900
2018:05:18:20:11:06.757,2018:05:18:21:01:41.990,3035.233
2018:05:19:00:23:04.017,2018:05:19:01:13:39.562,3035.545
2018:05:19:04:35:01.283,2018:05:19:05:25:37.118,3035.835
2018:05:19:08:46:58.556,2018:05:19:09:37:34.659,3036.103
2018:05:19:12:58:55.836,2018:05:19:13:49:32.185,3036.349
2018:05:19:17:10:53.125,2018:05:19:18:01:29.697,3036.572
2018:05:19:21:22:50.422,2018:05:19:22:13:27.194,3036.773
2018:05:20:01:34:47.727,2018:05:20:02:25:24.677,3036.950
2018:05:20:05:46:45.042,2018:05:20:06:37:22.147,3037.105
2018:05:20:09:58:42.367,2018:05:20:10:49:19.603,3037.236
2018:05:20:14:10:39.701,2018:05:20:15:01:17.045,3037.344
2018:05:20:18:22:37.046,2018:05:20:19:13:14.475,3037.429
2018:05:20:22:34:34.402,2018:05:20:23:25:11.892,3037.490
2018:05:21:02:46:31.769,2018:05:21:03:37:09.297,3037.528
2018:05:21:06:58:29.147,2018:05:21:07:49:06.690,3037.542
2018:05:21:11:10:26.537,2018:05:21:12:01:04.071,3037.534
2018:05:21:15:22:23.940,2018:05:21:16:13:01.441,3037.502
2018:05:21:19:34:21.354,2018:05:21:20:24:58.801,3037.447
2018:05:21:23:46:18.781,2018:05:22:00:36:56.150,3037.369
2018:05:22:03:58:16.221,2018:05:22:04:48:53.490,3037.269
