"Time (YYYY:MM:DD)","Range (km)","Elevation (deg)","Azimuth (deg)"
2018:05:17:13:50:33.580,3644.452619,-64.512,308.521
2018:05:17:13:51:33.000,3627.140562,-64.513,308.173
2018:05:17:13:52:33.000,3609.798818,-64.517,307.810
2018:05:17:13:53:33.000,3592.603523,-64.524,307.436
2018:05:17:13:54:33.000,3575.561346,-64.534,307.052
2018:05:17:13:55:33.000,3558.679000,-64.546,306.656
2018:05:17:13:56:33.000,3541.963242,-64.561,306.248
2018:05:17:13:57:33.000,3525.420869,-64.578,305.829
2018:05:17:13:58:33.000,3509.058714,-64.598,305.399
2018:05:17:13:59:33.000,3492.883643,-64.620,304.956
2018:05:17:14:00:33.000,3476.902550,-64.645,304.502
2018:05:17:14:01:33.000,3461.122354,-64.672,304.035
2018:05:17:14:02:33.000,3445.549995,-64.702,303.556
2018:05:17:14:03:33.000,3430.192424,-64.733,303.065
2018:05:17:14:04:33.000,3415.056608,-64.767,302.562
2018:05:17:14:05:33.000,3400.149512,-64.803,302.045
2018:05:17:14:06:33.000,3385.478106,-64.840,301.516
2018:05:17:14:07:33.000,3371.049350,-64.880,300.974
2018:05:17:14:08:33.000,3356.870192,-64.921,300.419
2018:05:17:14:09:33.000,3342.947560,-64.964,299.851
2018:05:17:14:10:33.000,3329.288357,-65.008,299.270
2018:05:17:14:11:33.000,3315.899453,-65.054,298.676
2018:05:17:14:12:33.000,3302.787678,-65.101,298.068
2018:05:17:14:13:33.000,3289.959812,-65.149,297.448
2018:05:17:14:14:33.000,3277.422584,-65.198,296.813
2018:05:17:14:15:33.000,3265.182658,-65.248,296.166
2018:05:17:14:16:33.000,3253.246625,-65.299,295.505
2018:05:17:14:17:33.000,3241.621000,-65.350,294.831
2018:05:17:14:18:33.000,3230.312207,-65.402,294.144
2018:05:17:14:19:33.000,3219.326575,-65.454,293.444
2018:05:17:14:20:33.000,3208.670326,-65.506,292.731
2018:05:17:14:21:33.000,3198.349571,-65.558,292.004
2018:05:17:14:22:33.000,3188.370293,-65.610,291.265
2018:05:17:14:23:33.000,3178.738346,-65.661,290.513
2018:05:17:14:24:33.000,3169.459441,-65.712,289.749
2018:05:17:14:25:33.000,3160.539138,-65.762,288.973
2018:05:17:14:26:33.000,3151.982838,-65.811,288.184
2018:05:17:14:27:33.000,3143.795772,-65.860,287.384
2018:05:17:14:28:33.000,3135.982993,-65.907,286.572
2018:05:17:14:29:33.000,3128.549368,-65.953,285.750
2018:05:17:14:30:33.000,3121.499568,-65.997,284.917
2018:05:17:14:31:33.000,3114.838058,-66.039,284.073
2018:05:17:14:32:33.000,3108.569094,-66.080,283.220
2018:05:17:14:33:33.000,3102.696707,-66.119,282.357
2018:05:17:14:34:33.000,3097.224703,-66.156,281.485
2018:05:17:14:35:33.000,3092.156649,-66.190,280.605
2018:05:17:14:36:33.000,3087.495872,-66.222,279.717
2018:05:17:14:37:33.000,3083.245446,-66.252,278.822
2018:05:17:14:38:33.000,3079.408192,-66.279,277.920
2018:05:17:14:39:33.000,3075.986666,-66.303,277.012
2018:05:17:14:40:33.000,3072.983159,-66.325,276.099
2018:05:17:14:41:33.000,3070.399689,-66.343,275.181
2018:05:17:14:42:33.000,3068.237997,-66.359,274.259
2018:05:17:14:43:33.000,3066.499544,-66.371,273.334
2018:05:17:14:44:33.000,3065.185508,-66.381,272.406
2018:05:17:14:45:33.000,3064.296782,-66.388,271.476
2018:05:17:14:46:33.000,3063.833969,-66.391,270.545
2018:05:17:14:47:33.000,3063.797384,-66.391,269.613
2018:05:17:14:48:33.000,3064.187052,-66.388,268.682
2018:05:17:14:49:33.000,3065.002710,-66.382,267.752
2018:05:17:14:50:33.000,3066.243801,-66.373,266.824
2018:05:17:14:51:33.000,3067.909485,-66.361,265.898
2018:05:17:14:52:33.000,3069.998633,-66.346,264.975
2018:05:17:14:53:33.000,3072.509832,-66.328,264.056
2018:05:17:14:54:33.000,3075.441390,-66.307,263.142
2018:05:17:14:55:33.000,3078.791336,-66.283,262.233
2018:05:17:14:56:33.000,3082.557426,-66.257,261.330
2018:05:17:14:57:33.000,3086.737150,-66.227,260.434
2018:05:17:14:58:33.000,3091.327733,-66.196,259.545
2018:05:17:14:59:33.000,3096.326143,-66.162,258.663
2018:05:17:15:00:33.000,3101.729098,-66.125,257.790
2018:05:17:15:01:33.000,3107.533071,-66.087,256.926
2018:05:17:15:02:33.000,3113.734298,-66.047,256.071
2018:05:17:15:03:33.000,3120.328784,-66.004,255.225
2018:05:17:15:04:33.000,3127.312315,-65.960,254.390
2018:05:17:15:05:33.000,3134.680458,-65.915,253.566
2018:05:17:15:06:33.000,3142.428580,-65.868,252.752
2018:05:17:15:07:33.000,3150.551846,-65.820,251.950
2018:05:17:15:08:33.000,3159.045234,-65.771,251.160
2018:05:17:15:09:33.000,3167.903545,-65.721,250.381
2018:05:17:15:10:33.000,3177.121406,-65.670,249.615
2018:05:17:15:11:33.000,3186.693283,-65.618,248.861
2018:05:17:15:12:33.000,3196.613492,-65.567,248.120
2018:05:17:15:13:33.000,3206.876202,-65.515,247.391
2018:05:17:15:14:33.000,3217.475452,-65.463,246.675
2018:05:17:15:15:33.000,3228.405154,-65.411,245.973
2018:05:17:15:16:33.000,3239.659103,-65.359,245.283
2018:05:17:15:17:33.000,3251.230988,-65.308,244.607
2018:05:17:15:18:33.000,3263.114401,-65.257,243.944
2018:05:17:15:19:33.000,3275.302843,-65.207,243.295
2018:05:17:15:20:33.000,3287.789734,-65.157,242.658
2018:05:17:15:21:33.000,3300.568423,-65.109,242.035
2018:05:17:15:22:33.000,3313.632193,-65.062,241.425
2018:05:17:15:23:33.000,3326.974270,-65.016,240.829
2018:05:17:15:24:33.000,3340.587834,-64.971,240.245
2018:05:17:15:25:33.000,3354.466020,-64.928,239.675
2018:05:17:15:26:33.000,3368.601932,-64.887,239.118
2018:05:17:15:27:33.000,3382.988644,-64.847,238.574
2018:05:17:15:28:33.000,3397.619211,-64.809,238.042
2018:05:17:15:29:33.000,3412.486676,-64.773,237.524
2018:05:17:15:30:33.000,3427.584071,-64.739,237.018
2018:05:17:15:31:33.000,3442.904427,-64.707,236.525
