"Time (YYYY:MM:DD)","Range (km)"
2018:05:27:19:22:39.000,3232.091415
2018:05:27:20:22:39.000,3162.614413
2018:05:27:21:22:39.000,4283.187802
2018:05:27:21:28:11.984,4407.312018
2018:05:28:02:30:19.083,4407.312101
2018:05:28:03:30:19.000,3232.000716
2018:05:28:04:30:19.000,3162.692608
2018:05:28:05:30:19.000,4283.339829
2018:05:28:05:35:51.576,4407.312105
2018:05:28:10:37:58.666,4407.312008
2018:05:28:11:37:58.000,3232.131053
2018:05:28:12:37:58.000,3162.581416
2018:05:28:13:37:58.000,4283.124840
2018:05:28:13:43:31.153,4407.311841
2018:05:28:18:45:38.235,4407.312106
2018:05:28:19:45:38.000,3232.034292
2018:05:28:20:45:38.000,3162.664762
2018:05:28:21:45:38.000,4283.286801
2018:05:28:21:51:10.718,4407.311980
2018:05:29:02:53:17.796,4407.310726
2018:05:29:03:53:17.000,3232.158890
2018:05:29:04:53:17.000,3162.558462
2018:05:29:05:53:17.000,4283.081213
2018:05:29:05:58:50.270,4407.312058
2018:05:29:11:00:57.338,4407.312071
2018:05:29:12:00:57.000,3232.056726
2018:05:29:13:00:57.000,3162.646382
2018:05:29:14:00:57.000,4283.251976
2018:05:29:14:06:29.807,4407.310536
2018:05:29:19:08:36.873,4407.311984
2018:05:29:20:08:36.000,3232.176311
2018:05:29:21:08:36.000,3162.544333
2018:05:29:22:08:36.000,4283.054543
2018:05:29:22:14:09.342,4407.312106
2018:05:30:03:16:16.397,4407.312106
2018:05:30:04:16:16.000,3232.069534
2018:05:30:05:16:16.000,3162.636143
2018:05:30:06:16:16.000,4283.232776
2018:05:30:06:21:48.863,4407.311998
2018:05:30:11:23:55.917,4407.310338
2018:05:30:12:23:55.000,3232.184933
2018:05:30:13:23:55.000,3162.537624
2018:05:30:14:23:55.000,4283.042105
2018:05:30:14:29:28.375,4407.312093
2018:05:30:19:31:35.420,4407.312031
2018:05:30:20:31:35.000,3232.074397
2018:05:30:21:31:35.000,3162.632589
2018:05:30:22:31:35.000,4283.226381
2018:05:30:22:37:07.878,4407.311250
2018:05:31:03:39:14.921,4407.312106
2018:05:31:04:39:14.000,3232.186470
2018:05:31:05:39:14.000,3162.536855
2018:05:31:06:39:14.000,4283.041035
2018:05:31:06:44:47.378,4407.312106
2018:05:31:11:46:54.417,4407.311201
2018:05:31:12:46:54.000,3232.073035
2018:05:31:13:46:54.000,3162.634238
2018:05:31:14:46:54.000,4283.229930
2018:05:31:14:52:26.870,4407.312033
2018:05:31:19:54:33.904,4407.312092
2018:05:31:20:54:33.000,3232.182625
2018:05:31:21:54:33.000,3162.540566
2018:05:31:22:54:33.000,4283.048517
2018:05:31:23:00:06.353,4407.310344
2018:06:01:04:02:13.390,4407.311997
2018:06:01:05:02:13.000,3232.067106
2018:06:01:06:02:13.000,3162.639672
2018:06:01:07:02:13.000,4283.240690
2018:06:01:07:07:45.841,4407.312106
2018:06:01:12:09:52.871,4407.312106
2018:06:01:13:09:52.000,3232.174988
2018:06:01:14:09:52.000,3162.547399
2018:06:01:15:09:52.000,4283.061938
2018:06:01:15:15:25.321,4407.311985
2018:06:01:20:17:32.354,4407.310511
2018:06:01:21:17:32.000,3232.058117
2018:06:01:22:17:32.000,3162.647609
2018:06:01:23:17:32.000,4283.256199
2018:06:01:23:23:04.799,4407.312073
2018:06:02:04:25:11.827,4407.312056
2018:06:02:05:25:11.000,3232.164966
2018:06:02:06:25:11.000,3162.556161
2018:06:02:07:25:11.000,4283.079008
2018:06:02:07:30:44.272,4407.310758
2018:06:02:12:32:51.302,4407.311980
2018:06:02:13:32:51.000,3232.047360
2018:06:02:14:32:51.000,3162.656952
2018:06:02:15:32:51.000,4283.274355
2018:06:02:15:38:23.751,4407.312106
2018:06:02:20:40:30.777,4407.311795
2018:06:02:21:40:30.000,3232.153733
2018:06:02:22:40:30.000,3162.565860
2018:06:02:23:40:30.000,4283.097830
2018:06:02:23:46:03.225,4407.312010
2018:06:03:04:48:10.251,4407.312105
2018:06:03:05:48:10.000,3232.035884
2018:06:03:06:48:10.000,3162.666821
2018:06:03:07:48:10.000,4283.293478
2018:06:03:07:53:42.699,4407.312102
2018:06:03:12:55:49.725,4407.312017
2018:06:03:13:55:49.000,3232.142205
2018:06:03:14:55:49.000,3162.575729
2018:06:03:15:55:49.000,4283.116939
2018:06:03:16:01:22.172,4407.311604
2018:06:03:21:03:29.200,4407.312106
2018:06:03:22:03:29.000,3232.024475
2018:06:03:23:03:29.000,3162.676557
2018:06:04:00:03:29.000,4283.312314
2018:06:04:00:09:01.648,4407.311979
2018:06:04:05:11:08.678,4407.310894
2018:06:04:06:11:08.000,3232.131045
2018:06:04:07:11:08.000,3162.585216
2018:06:04:08:11:08.000,4283.135290
2018:06:04:08:16:41.124,4407.312048
2018:06:04:13:18:48.151,4407.312080
2018:06:04:14:18:48.000,3232.013675
2018:06:04:15:18:48.000,3162.685712
2018:06:04:16:18:48.000,4283.330015
2018:06:04:16:24:20.597,4407.310433
