"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:09:24:12:10:38.374,2008:09:24:12:10:48.693,10.319
2008:09:26:18:52:17.353,2008:09:26:18:52:27.022,9.669
2008:09:26:19:22:32.979,2008:09:26:19:22:43.498,10.519
2008:09:29:02:04:08.553,2008:09:29:02:04:18.124,9.571
2008:09:29:02:34:28.054,2008:09:29:02:34:38.782,10.728
2008:10:01:09:15:59.353,2008:10:01:09:16:08.836,9.483
2008:10:01:09:46:23.985,2008:10:01:09:46:34.932,10.946
2008:10:03:16:27:50.069,2008:10:03:16:27:59.464,9.396
2008:10:03:16:58:21.149,2008:10:03:16:58:32.326,11.177
2008:10:05:23:39:40.928,2008:10:05:23:39:50.254,9.326
2008:10:06:00:10:19.872,2008:10:06:00:10:31.297,11.425
2008:10:08:06:51:32.087,2008:10:08:06:51:41.345,9.259
2008:10:08:07:22:20.388,2008:10:08:07:22:32.081,11.692
2008:10:10:14:03:23.606,2008:10:10:14:03:32.815,9.210
2008:10:10:14:34:22.860,2008:10:10:14:34:34.845,11.985
2008:10:12:21:15:15.465,2008:10:12:21:15:24.638,9.173
2008:10:12:21:46:27.332,2008:10:12:21:46:39.641,12.309
2008:10:15:04:27:07.519,2008:10:15:04:27:16.679,9.160
2008:10:15:04:58:33.676,2008:10:15:04:58:46.341,12.665
2008:10:17:11:38:59.513,2008:10:17:11:39:08.677,9.164
2008:10:17:12:10:41.581,2008:10:17:12:10:54.637,13.056
2008:10:19:18:50:51.179,2008:10:19:18:51:00.374,9.195
2008:10:19:19:22:50.669,2008:10:19:19:23:04.147,13.478
2008:10:22:02:02:42.379,2008:10:22:02:02:51.618,9.239
2008:10:22:02:35:00.705,2008:10:22:02:35:14.633,13.928
2008:10:24:09:14:33.152,2008:10:24:09:14:42.452,9.300
2008:10:24:09:47:11.702,2008:10:24:09:47:26.106,14.404
2008:10:26:16:26:23.693,2008:10:26:16:26:33.068,9.375
2008:10:26:16:59:23.930,2008:10:26:16:59:38.827,14.897
2008:10:28:23:38:14.303,2008:10:28:23:38:23.765,9.462
2008:10:29:00:11:37.831,2008:10:29:00:11:53.245,15.414
2008:10:31:06:50:05.316,2008:10:31:06:50:14.878,9.563
2008:10:31:07:23:53.955,2008:10:31:07:24:09.916,15.961
2008:11:02:14:01:57.054,2008:11:02:14:02:06.734,9.680
2008:11:02:14:36:12.870,2008:11:02:14:36:29.413,16.544
2008:11:04:21:13:49.809,2008:11:04:21:13:59.623,9.814
2008:11:04:21:48:35.130,2008:11:04:21:48:52.298,17.168
2008:11:07:04:25:43.811,2008:11:07:04:25:53.791,9.980
2008:11:07:05:01:01.221,2008:11:07:05:01:19.063,17.843
2008:11:09:11:37:39.245,2008:11:09:11:37:49.418,10.173
2008:11:09:12:13:31.534,2008:11:09:12:13:50.120,18.586
2008:11:11:18:49:36.169,2008:11:11:18:49:46.573,10.404
2008:11:11:19:26:06.265,2008:11:11:19:26:25.665,19.400
2008:11:14:02:01:34.478,2008:11:14:02:01:45.155,10.677
2008:11:14:02:38:45.261,2008:11:14:02:39:05.560,20.298
2008:11:16:09:13:33.918,2008:11:16:09:13:44.912,10.994
2008:11:16:09:51:28.057,2008:11:16:09:51:49.337,21.279
2008:11:18:16:25:34.252,2008:11:18:16:25:45.606,11.355
2008:11:18:17:04:14.164,2008:11:18:17:04:36.505,22.342
2008:11:20:23:37:35.420,2008:11:20:23:37:47.178,11.758
2008:11:21:00:17:03.409,2008:11:21:00:17:26.882,23.474
2008:11:23:06:49:37.582,2008:11:23:06:49:49.784,12.201
2008:11:23:07:29:56.030,2008:11:23:07:30:20.712,24.682
2008:11:25:14:01:41.071,2008:11:25:14:01:53.759,12.688
2008:11:25:14:42:52.624,2008:11:25:14:43:18.587,25.964
2008:11:27:21:13:46.346,2008:11:27:21:13:59.568,13.222
2008:11:27:21:55:54.065,2008:11:27:21:56:21.396,27.330
2008:11:30:04:25:53.961,2008:11:30:04:26:07.772,13.811
2008:11:30:05:09:01.439,2008:11:30:05:09:30.239,28.799
2008:12:02:11:38:04.532,2008:12:02:11:38:18.996,14.464
2008:12:02:12:22:15.974,2008:12:02:12:22:46.359,30.385
2008:12:04:18:50:18.712,2008:12:04:18:50:33.909,15.197
2008:12:04:19:35:38.978,2008:12:04:19:36:11.098,32.120
2008:12:07:02:02:37.163,2008:12:07:02:02:53.187,16.025
2008:12:07:02:49:11.784,2008:12:07:02:49:45.818,34.033
2008:12:09:09:15:00.489,2008:12:09:09:15:17.456,16.967
2008:12:09:10:02:55.574,2008:12:09:10:03:31.739,36.164
2008:12:11:16:27:29.106,2008:12:11:16:27:47.147,18.042
2008:12:11:17:16:51.106,2008:12:11:17:17:29.650,38.544
2008:12:13:23:40:03.096,2008:12:13:23:40:22.360,19.264
2008:12:14:00:30:58.384,2008:12:14:00:31:39.583,41.199
2008:12:16:06:52:42.284,2008:12:16:06:53:02.925,20.640
2008:12:16:07:45:16.857,2008:12:16:07:46:00.993,44.136
2008:12:18:14:05:26.583,2008:12:18:14:05:48.760,22.177
2008:12:18:14:59:46.130,2008:12:18:15:00:33.488,47.358
2008:12:20:21:18:16.239,2008:12:20:21:18:40.117,23.878
2008:12:20:22:14:26.526,2008:12:20:22:15:17.397,50.871
2008:12:23:04:31:11.885,2008:12:23:04:31:37.637,25.752
2008:12:23:05:29:19.164,2008:12:23:05:30:13.856,54.692
2008:12:25:11:44:14.513,2008:12:25:11:44:42.338,27.825
2008:12:25:12:44:25.884,2008:12:25:12:45:24.739,58.855
2008:12:27:18:57:25.468,2008:12:27:18:57:55.595,30.127
2008:12:27:19:59:49.235,2008:12:27:20:00:52.645,63.410
2008:12:30:02:10:46.501,2008:12:30:02:11:19.202,32.701
2008:12:30:03:15:32.502,2008:12:30:03:16:40.933,68.431
2009:01:01:09:24:18.756,2009:01:01:09:24:54.365,35.609
2009:01:01:10:31:38.693,2009:01:01:10:32:52.707,74.015
2009:01:03:16:38:06.781,2009:01:03:16:38:45.706,38.925
2009:01:03:17:48:14.463,2009:01:03:17:49:34.752,80.289
2009:01:05:23:52:12.434,2009:01:05:23:52:55.185,42.750
2009:01:06:01:05:23.900,2009:01:06:01:06:51.307,87.408
2009:01:08:07:06:38.675,2009:01:08:07:07:25.872,47.197
2009:01:08:08:23:11.974,2009:01:08:08:24:47.525,95.551
2009:01:10:14:21:28.062,2009:01:10:14:22:20.456,52.394
2009:01:10:15:41:42.559,2009:01:10:15:43:27.449,104.891
2009:01:12:21:36:42.413,2009:01:12:21:37:40.852,58.439
2009:01:12:23:00:57.731,2009:01:12:23:02:53.299,115.569
2009:01:15:04:52:23.158,2009:01:15:04:53:28.593,65.434
2009:01:15:06:20:58.642,2009:01:15:06:23:06.331,127.689
2009:01:17:12:08:32.284,2009:01:17:12:09:45.762,73.478
2009:01:17:13:41:47.379,2009:01:17:13:44:08.737,141.358
2009:01:19:19:25:12.974,2009:01:19:19:26:35.676,82.701
2009:01:19:21:03:28.108,2009:01:19:21:06:04.825,156.717
2009:01:22:02:42:29.847,2009:01:22:02:44:03.125,93.278
2009:01:22:04:26:07.335,2009:01:22:04:29:01.312,173.978
2009:01:24:10:00:29.213,2009:01:24:10:02:14.651,105.439
2009:01:24:11:49:54.211,2009:01:24:11:53:07.622,193.412
2009:01:26:17:19:19.568,2009:01:26:17:21:19.064,119.496
2009:01:26:19:15:01.167,2009:01:26:19:18:36.572,215.406
2009:01:29:00:39:12.248,2009:01:29:00:41:28.124,135.876
2009:01:29:02:41:44.752,2009:01:29:02:45:45.239,240.487
2009:01:31:08:00:22.044,2009:01:31:08:02:57.195,155.151
2009:01:31:10:10:26.232,2009:01:31:10:14:55.598,269.366
2009:02:02:15:23:07.551,2009:02:02:15:26:05.626,178.075
2009:02:02:17:41:31.590,2009:02:02:17:46:34.551,302.960
2009:02:04:22:47:50.969,2009:02:04:22:51:16.567,205.597
2009:02:05:01:15:30.457,2009:02:05:01:21:12.845,342.388
2009:02:07:06:14:56.801,2009:02:07:06:18:55.626,238.825
2009:02:07:08:52:53.212,2009:02:07:08:59:22.102,388.890
2009:02:09:13:44:49.446,2009:02:09:13:49:28.372,278.926
2009:02:09:16:34:06.674,2009:02:09:16:41:30.313,443.639
2009:02:11:21:17:51.805,2009:02:11:21:23:18.831,327.025
2009:02:12:00:19:32.203,2009:02:12:00:27:59.838,507.636
2009:02:14:04:54:27.262,2009:02:14:05:00:51.466,384.204
2009:02:14:08:09:29.386,2009:02:14:08:19:11.091,581.705
2009:02:16:12:35:03.334,2009:02:16:12:42:34.953,451.620
2009:02:16:16:04:21.614,2009:02:16:16:15:28.242,666.628
2009:02:18:20:20:14.161,2009:02:18:20:29:04.704,530.543
2009:02:19:00:04:38.945,2009:02:19:00:17:22.149,763.205
2009:02:21:04:10:42.035,2009:02:21:04:21:04.405,622.370
2009:02:21:08:10:59.356,2009:02:21:08:25:31.600,872.245
2009:02:23:12:07:19.839,2009:02:23:12:19:28.467,728.628
2009:02:23:16:24:11.175,2009:02:23:16:40:45.702,994.527
2009:02:25:20:11:14.973,2009:02:25:20:25:26.005,851.032
2009:02:26:00:45:17.212,2009:02:26:01:04:08.001,1130.789
2009:02:28:04:23:53.235,2009:02:28:04:40:24.575,991.340
2009:02:28:09:15:37.663,2009:02:28:09:36:59.223,1281.560
2009:03:02:12:46:58.166,2009:03:02:13:06:09.188,1151.022
2009:03:02:17:56:46.016,2009:03:02:18:20:52.625,1446.609
2009:03:04:21:22:20.973,2009:03:04:21:44:31.313,1330.340
2009:03:05:02:50:12.808,2009:03:05:03:17:16.681,1623.874
2009:03:07:06:11:37.458,2009:03:07:06:37:04.224,1526.767
2009:03:07:11:56:55.942,2009:03:07:12:27:03.880,1807.938
2009:03:09:15:15:33.275,2009:03:09:15:44:26.572,1733.297
2009:03:09:21:16:43.645,2009:03:09:21:49:52.492,1988.848
2009:03:12:00:33:31.503,2009:03:12:01:05:49.032,1937.529
2009:03:12:06:47:50.853,2009:03:12:07:23:43.217,2152.364
2009:03:14:10:03:25.675,2009:03:14:10:38:48.668,2122.993
2009:03:14:16:27:11.560,2009:03:14:17:05:14.071,2282.512
2009:03:16:19:42:02.368,2009:03:16:20:19:54.683,2272.315
2009:03:17:02:10:58.200,2009:03:17:02:50:23.272,2365.072
2009:03:19:05:25:33.635,2009:03:19:06:05:04.482,2370.847
2009:03:19:11:55:18.910,2009:03:19:12:35:09.528,2390.618
2009:03:21:15:10:07.396,2009:03:21:15:50:17.002,2409.606
2009:03:21:21:36:43.241,2009:03:21:22:15:59.439,2356.198
2009:03:24:00:52:16.415,2009:03:24:01:32:03.161,2386.746
2009:03:24:07:12:21.513,2009:03:24:07:50:07.040,2265.527
2009:03:26:10:29:22.753,2009:03:26:11:07:49.887,2307.134
2009:03:26:16:40:17.277,2009:03:26:17:15:44.762,2127.485
2009:03:28:19:59:46.629,2009:03:28:20:36:06.996,2180.367
2009:03:29:01:59:24.533,2009:03:29:02:31:58.521,1953.988
2009:03:31:05:22:30.698,2009:03:31:05:56:09.325,2018.627
2009:03:31:11:09:06.114,2009:03:31:11:38:24.204,1758.090
2009:04:02:14:36:49.787,2009:04:02:15:07:24.937,1835.151
2009:04:02:20:08:47.822,2009:04:02:20:34:40.777,1552.955
2009:04:04:23:41:51.583,2009:04:05:00:09:14.579,1642.996
2009:04:05:04:57:50.435,2009:04:05:05:20:21.154,1350.719
2009:04:07:08:36:41.103,2009:04:07:09:00:54.822,1453.719
2009:04:07:13:35:42.138,2009:04:07:13:55:03.341,1161.203
2009:04:09:17:20:39.538,2009:04:09:17:41:55.588,1276.050
2009:04:09:22:02:16.732,2009:04:09:22:18:47.524,990.792
2009:04:12:01:53:41.146,2009:04:12:02:12:16.394,1115.248
2009:04:12:06:18:02.956,2009:04:12:06:32:05.249,842.293
2009:04:14:10:16:16.510,2009:04:14:10:32:29.825,973.315
2009:04:14:14:23:59.645,2009:04:14:14:35:55.252,715.607
2009:04:16:18:29:22.343,2009:04:16:18:43:32.340,849.997
2009:04:16:22:21:21.958,2009:04:16:22:31:30.842,608.884
2009:04:19:02:34:07.618,2009:04:19:02:46:31.359,743.741
2009:04:19:06:11:28.145,2009:04:19:06:20:07.653,519.507
2009:04:21:10:31:43.721,2009:04:21:10:42:36.120,652.399
2009:04:21:13:55:31.863,2009:04:21:14:02:56.582,444.719
2009:04:23:18:23:19.787,2009:04:23:18:32:53.512,573.726
2009:04:23:21:34:39.335,2009:04:23:21:41:01.253,381.918
2009:04:26:02:10:00.461,2009:04:26:02:18:25.998,505.537
2009:04:26:05:09:48.400,2009:04:26:05:15:17.192,328.793
2009:04:28:09:52:42.264,2009:04:28:10:00:08.225,445.961
2009:04:28:12:41:46.812,2009:04:28:12:46:30.306,283.493
2009:04:30:17:32:08.392,2009:04:30:17:38:42.017,393.625
2009:04:30:20:11:10.141,2009:04:30:20:15:14.786,244.645
2009:05:03:01:08:46.820,2009:05:03:01:14:34.460,347.640
2009:05:03:03:38:22.149,2009:05:03:03:41:53.472,211.323
2009:05:05:08:42:53.876,2009:05:05:08:48:01.292,307.416
2009:05:05:11:03:38.436,2009:05:05:11:06:41.299,182.862
2009:05:07:16:14:40.128,2009:05:07:16:19:12.593,272.465
2009:05:07:18:27:10.617,2009:05:07:18:29:49.319,158.702
2009:05:09:23:44:14.801,2009:05:09:23:48:17.070,242.269
2009:05:10:01:49:09.075,2009:05:10:01:51:27.379,138.303
2009:05:12:07:11:48.037,2009:05:12:07:15:24.333,216.296
2009:05:12:09:09:44.143,2009:05:12:09:11:45.280,121.137
2009:05:14:14:37:31.304,2009:05:14:14:40:45.282,193.978
2009:05:14:16:29:06.191,2009:05:14:16:30:52.888,106.696
2009:05:16:22:01:36.800,2009:05:16:22:04:31.569,174.769
2009:05:16:23:47:25.239,2009:05:16:23:48:59.760,94.521
2009:05:19:05:24:16.759,2009:05:19:05:26:54.924,158.166
2009:05:19:07:04:50.606,2009:05:19:07:06:14.811,84.205
2009:05:21:12:45:43.200,2009:05:21:12:48:06.914,143.713
2009:05:21:14:21:30.862,2009:05:21:14:22:46.261,75.399
2009:05:23:20:06:08.098,2009:05:23:20:08:19.098,131.000
2009:05:23:21:37:33.990,2009:05:23:21:38:41.790,67.800
2009:05:26:03:25:43.188,2009:05:26:03:27:42.864,119.675
2009:05:26:04:53:07.348,2009:05:26:04:54:08.503,61.155
2009:05:28:10:44:38.668,2009:05:28:10:46:28.137,109.469
2009:05:28:12:08:17.070,2009:05:28:12:09:12.346,55.275
2009:05:30:18:03:01.512,2009:05:30:18:04:41.734,100.222
2009:05:30:19:23:07.347,2009:05:30:19:23:57.388,50.041
2009:06:02:01:20:55.308,2009:06:02:01:22:27.149,91.841
2009:06:02:02:37:40.532,2009:06:02:02:38:25.914,45.382
2009:06:04:08:38:21.490,2009:06:04:08:39:45.781,84.291
2009:06:04:09:51:57.835,2009:06:04:09:52:39.090,41.255
2009:06:06:15:55:20.670,2009:06:06:15:56:38.196,77.526
2009:06:06:17:06:00.048,2009:06:06:17:06:37.664,37.616
2009:06:08:23:11:53.423,2009:06:08:23:13:04.920,71.497
2009:06:09:00:19:47.886,2009:06:09:00:20:22.306,34.420
2009:06:11:06:28:00.643,2009:06:11:06:29:06.779,66.136
2009:06:11:07:33:22.182,2009:06:11:07:33:53.809,31.627
2009:06:13:13:43:43.640,2009:06:13:13:44:45.019,61.379
2009:06:13:14:46:43.906,2009:06:13:14:47:13.090,29.184
2009:06:15:20:59:04.091,2009:06:15:21:00:01.243,57.152
2009:06:15:21:59:54.152,2009:06:15:22:00:21.187,27.036
2009:06:18:04:14:04.006,2009:06:18:04:14:57.386,53.379
2009:06:18:05:12:54.100,2009:06:18:05:13:19.254,25.155
2009:06:20:11:28:45.802,2009:06:20:11:29:35.788,49.985
2009:06:20:12:25:45.091,2009:06:20:12:26:08.569,23.478
2009:06:22:18:43:12.413,2009:06:22:18:43:59.307,46.894
2009:06:22:19:38:28.646,2009:06:22:19:38:50.621,21.975
2009:06:25:01:57:27.049,2009:06:25:01:58:11.090,44.041
2009:06:25:02:51:06.385,2009:06:25:02:51:26.992,20.606
2009:06:27:09:11:32.414,2009:06:27:09:12:13.795,41.382
2009:06:27:10:03:39.655,2009:06:27:10:03:59.003,19.348
2009:06:29:16:25:30.056,2009:06:29:16:26:08.957,38.900
2009:06:29:17:16:09.259,2009:06:29:17:16:27.451,18.192
2009:07:01:23:39:20.489,2009:07:01:23:39:57.087,36.597
2009:07:02:00:28:35.506,2009:07:02:00:28:52.642,17.136
2009:07:04:06:53:03.668,2009:07:04:06:53:38.135,34.467
2009:07:04:07:40:58.452,2009:07:04:07:41:14.630,16.178
2009:07:06:14:06:39.367,2009:07:06:14:07:11.880,32.513
2009:07:06:14:53:18.059,2009:07:06:14:53:33.376,15.318
2009:07:07:17:56:13.839,2009:07:07:20:24:27.032,8893.193
2009:07:08:21:20:07.352,2009:07:08:21:20:38.088,30.737
2009:07:08:22:05:34.285,2009:07:08:22:05:48.840,14.554
2009:07:11:04:33:27.506,2009:07:11:04:33:56.630,29.123
2009:07:11:05:17:47.125,2009:07:11:05:18:00.996,13.871
2009:07:13:11:46:39.860,2009:07:13:11:47:07.517,27.657
2009:07:13:12:29:56.630,2009:07:13:12:30:09.901,13.272
2009:07:15:18:59:44.627,2009:07:15:19:00:10.955,26.328
2009:07:15:19:42:02.931,2009:07:15:19:42:15.674,12.743
2009:07:18:02:12:42.281,2009:07:18:02:13:07.397,25.117
2009:07:18:02:54:06.256,2009:07:18:02:54:18.532,12.276
2009:07:20:09:25:33.620,2009:07:20:09:25:57.620,24.000
2009:07:20:10:06:07.008,2009:07:20:10:06:18.871,11.863
2009:07:22:16:38:19.833,2009:07:22:16:38:42.788,22.955
2009:07:22:17:18:05.768,2009:07:22:17:18:17.247,11.478
2009:07:24:23:51:02.245,2009:07:24:23:51:24.208,21.963
2009:07:25:00:30:03.205,2009:07:25:00:30:14.335,11.130
2009:07:27:07:03:41.850,2009:07:27:07:04:02.870,21.020
2009:07:27:07:41:59.837,2009:07:27:07:42:10.647,10.810
2009:07:29:14:16:19.112,2009:07:29:14:16:39.241,20.129
2009:07:29:14:53:55.939,2009:07:29:14:54:06.454,10.515
2009:07:31:21:28:54.097,2009:07:31:21:29:13.380,19.282
2009:07:31:22:05:51.576,2009:07:31:22:06:01.827,10.252
2009:08:03:04:41:26.662,2009:08:03:04:41:45.155,18.493
2009:08:03:05:17:46.706,2009:08:03:05:17:56.725,10.019
2009:08:05:11:53:56.577,2009:08:05:11:54:14.337,17.760
2009:08:05:12:29:41.229,2009:08:05:12:29:51.050,9.821
2009:08:07:19:06:23.594,2009:08:07:19:06:40.680,17.086
2009:08:07:19:41:35.020,2009:08:07:19:41:44.668,9.649
2009:08:10:02:18:47.483,2009:08:10:02:19:03.951,16.468
2009:08:10:02:53:27.939,2009:08:10:02:53:37.448,9.509
2009:08:12:09:31:08.083,2009:08:12:09:31:23.986,15.903
2009:08:12:10:05:19.872,2009:08:12:10:05:29.268,9.396
2009:08:14:16:43:25.368,2009:08:14:16:43:40.751,15.383
2009:08:14:17:17:10.759,2009:08:14:17:17:20.065,9.307
2009:08:16:23:55:39.494,2009:08:16:23:55:54.401,14.907
2009:08:17:00:29:00.649,2009:08:17:00:29:09.885,9.236
2009:08:19:07:07:50.894,2009:08:19:07:08:05.352,14.458
2009:08:19:07:40:49.758,2009:08:19:07:40:58.937,9.179
2009:08:21:14:20:00.243,2009:08:21:14:20:14.273,14.031
2009:08:21:14:52:38.477,2009:08:21:14:52:47.609,9.132
2009:08:23:21:32:08.221,2009:08:23:21:32:21.840,13.619
2009:08:23:22:04:27.237,2009:08:23:22:04:36.331,9.093
2009:08:26:04:44:15.295,2009:08:26:04:44:28.516,13.222
2009:08:26:05:16:16.360,2009:08:26:05:16:25.426,9.066
2009:08:28:11:56:21.656,2009:08:28:11:56:34.499,12.844
2009:08:28:12:28:06.003,2009:08:28:12:28:15.054,9.051
2009:08:30:19:08:27.301,2009:08:30:19:08:39.785,12.484
2009:08:30:19:39:56.200,2009:08:30:19:40:05.252,9.052
2009:09:02:02:20:32.121,2009:09:02:02:20:44.270,12.149
2009:09:02:02:51:46.905,2009:09:02:02:51:55.976,9.071
2009:09:04:09:32:35.943,2009:09:04:09:32:47.779,11.836
2009:09:04:10:03:38.008,2009:09:04:10:03:47.114,9.105
2009:09:06:16:44:38.538,2009:09:06:16:44:50.096,11.558
2009:09:06:17:15:29.348,2009:09:06:17:15:38.508,9.160
2009:09:08:23:56:39.687,2009:09:08:23:56:50.984,11.297
2009:09:09:00:27:20.729,2009:09:09:00:27:29.962,9.234
2009:09:11:07:08:39.198,2009:09:11:07:08:50.266,11.068
2009:09:11:07:39:11.968,2009:09:11:07:39:21.293,9.325
2009:09:13:14:20:37.010,2009:09:13:14:20:47.868,10.858
2009:09:13:14:51:02.958,2009:09:13:14:51:12.384,9.426
2009:09:15:21:32:33.230,2009:09:15:21:32:43.895,10.665
2009:09:15:22:02:53.738,2009:09:15:22:03:03.279,9.541
2009:09:18:04:44:28.185,2009:09:18:04:44:38.669,10.484
2009:09:18:05:14:44.549,2009:09:18:05:14:54.205,9.656
2009:09:20:11:56:22.325,2009:09:20:11:56:32.634,10.309
2009:09:20:12:26:35.777,2009:09:20:12:26:45.557,9.781
2009:09:22:19:08:16.083,2009:09:22:19:08:26.223,10.139
2009:09:22:19:38:27.828,2009:09:22:19:38:37.745,9.917
2009:09:25:02:20:09.730,2009:09:25:02:20:19.711,9.981
2009:09:25:02:50:21.006,2009:09:25:02:50:31.070,10.064
2009:09:27:09:32:03.392,2009:09:27:09:32:13.224,9.832
2009:09:27:10:02:15.487,2009:09:27:10:02:25.711,10.223
2009:09:29:16:43:57.075,2009:09:29:16:44:06.772,9.698
2009:09:29:17:14:11.334,2009:09:29:17:14:21.737,10.403
2009:10:01:23:55:50.718,2009:10:01:23:56:00.294,9.576
2009:10:02:00:26:08.532,2009:10:02:00:26:19.138,10.606
2009:10:04:07:07:44.172,2009:10:04:07:07:53.646,9.474
2009:10:04:07:38:06.974,2009:10:04:07:38:17.803,10.829
2009:10:06:14:19:37.235,2009:10:06:14:19:46.625,9.390
2009:10:06:14:50:06.452,2009:10:06:14:50:17.532,11.080
2009:10:08:21:31:29.680,2009:10:08:21:31:39.007,9.327
2009:10:08:22:02:06.697,2009:10:08:22:02:18.049,11.352
2009:10:11:04:43:21.330,2009:10:11:04:43:30.609,9.278
2009:10:11:05:14:07.477,2009:10:11:05:14:19.122,11.645
2009:10:13:11:55:12.138,2009:10:13:11:55:21.388,9.251
2009:10:13:12:26:08.678,2009:10:13:12:26:20.636,11.958
2009:10:15:19:07:02.240,2009:10:15:19:07:11.468,9.228
2009:10:15:19:38:10.434,2009:10:15:19:38:22.716,12.281
2009:10:18:02:18:51.928,2009:10:18:02:19:01.144,9.216
2009:10:18:02:50:13.100,2009:10:18:02:50:25.718,12.618
2009:10:20:09:30:41.582,2009:10:20:09:30:50.790,9.208
2009:10:20:10:02:17.176,2009:10:20:10:02:30.146,12.970
2009:10:22:16:42:31.535,2009:10:22:16:42:40.751,9.216
2009:10:22:17:14:23.171,2009:10:22:17:14:36.514,13.343
2009:10:24:23:54:22.032,2009:10:24:23:54:31.265,9.233
2009:10:25:00:26:31.496,2009:10:25:00:26:45.236,13.740
2009:10:27:07:06:13.227,2009:10:27:07:06:22.492,9.265
2009:10:27:07:38:42.444,2009:10:27:07:38:56.621,14.177
2009:10:29:14:18:05.187,2009:10:29:14:18:14.505,9.318
2009:10:29:14:50:56.218,2009:10:29:14:51:10.863,14.644
2009:10:31:21:29:57.905,2009:10:31:21:30:07.297,9.393
2009:10:31:22:03:12.881,2009:10:31:22:03:28.045,15.164
2009:11:03:04:41:51.276,2009:11:03:04:42:00.765,9.489
2009:11:03:05:15:32.337,2009:11:03:05:15:48.069,15.731
2009:11:05:11:53:45.096,2009:11:05:11:53:54.714,9.618
2009:11:05:12:27:54.298,2009:11:05:12:28:10.651,16.354
2009:11:07:19:05:39.134,2009:11:07:19:05:48.910,9.776
2009:11:07:19:40:18.377,2009:11:07:19:40:35.394,17.017
2009:11:10:02:17:33.247,2009:11:10:02:17:43.204,9.957
2009:11:10:02:52:44.281,2009:11:10:02:53:02.014,17.733
2009:11:12:09:29:27.452,2009:11:12:09:29:37.617,10.165
2009:11:12:10:05:12.011,2009:11:12:10:05:30.498,18.487
2009:11:14:16:41:21.972,2009:11:14:16:41:32.365,10.393
2009:11:14:17:17:41.906,2009:11:14:17:18:01.187,19.281
2009:11:16:23:53:17.175,2009:11:16:23:53:27.820,10.645
2009:11:17:00:30:14.612,2009:11:17:00:30:34.732,20.120
2009:11:19:07:05:13.505,2009:11:19:07:05:24.429,10.924
2009:11:19:07:42:50.958,2009:11:19:07:43:11.965,21.007
2009:11:21:14:17:11.404,2009:11:21:14:17:22.640,11.236
2009:11:21:14:55:31.796,2009:11:21:14:55:53.758,21.962
2009:11:23:21:29:11.270,2009:11:23:21:29:22.858,11.588
2009:11:23:22:08:17.932,2009:11:23:22:08:40.923,22.991
2009:11:26:04:41:13.451,2009:11:26:04:41:25.440,11.988
2009:11:26:05:21:10.077,2009:11:26:05:21:34.199,24.122
2009:11:28:11:53:18.233,2009:11:28:11:53:30.683,12.449
2009:11:28:12:34:08.836,2009:11:28:12:34:34.202,25.366
2009:11:30:19:05:25.802,2009:11:30:19:05:38.780,12.977
2009:11:30:19:47:14.587,2009:11:30:19:47:41.325,26.739
2009:12:03:02:17:36.173,2009:12:03:02:17:49.755,13.583
2009:12:03:03:00:27.332,2009:12:03:03:00:55.594,28.262
2009:12:05:09:29:49.180,2009:12:05:09:30:03.449,14.269
2009:12:05:10:13:46.673,2009:12:05:10:14:16.607,29.933
2009:12:07:16:42:04.618,2009:12:07:16:42:19.656,15.038
2009:12:07:17:27:12.077,2009:12:07:17:27:43.834,31.756
2009:12:09:23:54:22.448,2009:12:09:23:54:38.336,15.888
2009:12:10:00:40:43.357,2009:12:10:00:41:17.076,33.719
2009:12:12:07:06:42.920,2009:12:12:07:06:59.740,16.820
2009:12:12:07:54:20.910,2009:12:12:07:54:56.740,35.829
2009:12:14:14:19:06.574,2009:12:14:14:19:24.414,17.840
2009:12:14:15:08:05.748,2009:12:14:15:08:43.844,38.096
2009:12:16:21:31:34.193,2009:12:16:21:31:53.153,18.960
2009:12:16:22:21:59.406,2009:12:16:22:22:39.945,40.540
2009:12:19:04:44:06.746,2009:12:19:04:44:26.942,20.197
2009:12:19:05:36:03.793,2009:12:19:05:36:46.990,43.196
2009:12:21:11:56:45.318,2009:12:21:11:57:06.896,21.578
2009:12:21:12:50:21.059,2009:12:21:12:51:07.170,46.111
2009:12:23:19:09:31.085,2009:12:23:19:09:54.213,23.128
2009:12:23:20:04:53.497,2009:12:23:20:05:42.836,49.339
2009:12:26:02:22:25.279,2009:12:26:02:22:50.172,24.893
2009:12:26:03:19:43.477,2009:12:26:03:20:36.422,52.945
2009:12:28:09:35:29.140,2009:12:28:09:35:56.041,26.901
2009:12:28:10:34:53.291,2009:12:28:10:35:50.295,57.004
2009:12:30:16:48:43.720,2009:12:30:16:49:12.929,29.209
2009:12:30:17:50:24.762,2009:12:30:17:51:26.352,61.591
2010:01:02:00:02:09.654,2010:01:02:00:02:41.502,31.849
2010:01:02:01:06:18.733,2010:01:02:01:07:25.501,66.768
2010:01:04:07:15:47.149,2010:01:04:07:16:22.006,34.856
2010:01:04:08:22:35.092,2010:01:04:08:23:47.664,72.573
2010:01:06:14:29:36.442,2010:01:06:14:30:14.696,38.254
2010:01:06:15:39:13.744,2010:01:06:15:40:32.771,79.027
2010:01:08:21:43:38.325,2010:01:08:21:44:20.392,42.067
