"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:18:10:00:00.000,2018:07:27:19:22:09.668,6081729.668
2018:07:27:21:57:14.381,2018:09:05:02:40:32.568,3386598.187
2018:09:05:02:57:41.108,2018:09:05:16:23:34.216,48353.108
2018:09:05:16:48:46.023,2018:09:06:06:07:43.495,47937.472
2018:09:06:06:38:43.356,2018:09:06:19:52:26.722,47623.366
2018:09:06:20:28:06.775,2018:09:07:09:37:31.695,47364.920
2018:09:07:10:17:08.475,2018:09:07:23:22:52.289,47143.814
2018:09:08:00:05:54.566,2018:09:08:13:08:24.900,46950.333
2018:09:08:13:54:28.642,2018:09:09:02:54:07.181,46778.540
2018:09:09:03:42:53.030,2018:09:09:16:39:57.518,46624.489
2018:09:09:17:31:09.341,2018:09:10:06:25:54.725,46485.385
2018:09:10:07:19:18.743,2018:09:10:20:11:57.924,46359.181
2018:09:10:21:07:22.107,2018:09:11:09:58:06.433,46244.327
2018:09:11:10:55:20.110,2018:09:11:23:44:19.725,46139.615
2018:09:12:00:43:13.271,2018:09:12:13:30:37.378,46044.106
2018:09:12:14:31:02.009,2018:09:13:03:16:59.058,45957.049
2018:09:13:04:18:46.651,2018:09:13:17:03:24.496,45877.845
2018:09:13:18:06:27.468,2018:09:14:06:49:53.476,45806.008
2018:09:14:07:54:04.677,2018:09:14:20:36:25.823,45741.146
2018:09:14:21:41:38.453,2018:09:15:10:23:01.401,45682.948
2018:09:15:11:29:08.938,2018:09:16:00:09:40.093,45631.155
2018:09:16:01:16:36.248,2018:09:16:13:56:21.813,45585.565
2018:09:16:15:04:00.472,2018:09:17:03:43:06.493,45546.020
2018:09:17:04:51:21.689,2018:09:17:17:29:54.086,45512.396
2018:09:17:18:38:39.949,2018:09:18:07:16:44.555,45484.606
2018:09:18:08:25:55.294,2018:09:18:21:03:37.880,45462.586
2018:09:18:22:13:07.749,2018:09:19:10:50:34.052,45446.303
2018:09:19:12:00:17.329,2018:09:20:00:37:33.076,45435.748
2018:09:20:01:47:24.037,2018:09:20:14:24:34.969,45430.932
2018:09:20:15:34:27.864,2018:09:21:04:11:39.747,45431.884
2018:09:21:05:21:28.796,2018:09:21:17:58:47.456,45438.660
2018:09:21:19:08:26.799,2018:09:22:07:45:58.139,45451.340
2018:09:22:08:55:21.833,2018:09:22:21:33:11.854,45470.022
2018:09:22:22:42:13.848,2018:09:23:11:20:28.672,45494.824
2018:09:23:12:29:02.780,2018:09:24:01:07:48.674,45525.895
2018:09:24:02:15:48.557,2018:09:24:14:55:11.956,45563.399
2018:09:24:16:02:31.083,2018:09:25:04:42:38.634,45607.550
2018:09:25:05:49:10.257,2018:09:25:18:30:08.831,45658.575
2018:09:25:19:35:45.952,2018:09:26:08:17:42.702,45716.750
2018:09:26:09:22:18.024,2018:09:26:22:05:20.421,45782.396
2018:09:26:23:08:46.301,2018:09:27:11:53:02.197,45855.896
2018:09:27:12:55:10.578,2018:09:28:01:40:48.276,45937.698
2018:09:28:02:41:30.612,2018:09:28:15:28:38.951,46028.339
2018:09:28:16:27:46.109,2018:09:29:05:16:34.581,46128.472
2018:09:29:06:13:56.713,2018:09:29:19:04:35.606,46238.892
2018:09:29:20:00:01.985,2018:09:30:08:52:42.579,46360.594
2018:09:30:09:46:01.363,2018:09:30:22:40:56.212,46494.849
2018:09:30:23:31:54.138,2018:10:01:12:29:17.431,46643.292
2018:10:01:13:17:39.373,2018:10:02:02:17:47.506,46808.132
2018:10:02:03:03:15.799,2018:10:02:16:06:28.213,46992.414
2018:10:02:16:48:41.625,2018:10:03:05:55:22.206,47200.581
2018:10:03:06:33:54.190,2018:10:03:19:44:33.749,47439.560
2018:10:03:20:18:49.222,2018:10:04:09:34:10.521,47721.299
