"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:18:19:05:02.099,2018:05:19:02:21:05.659,26163.560
2018:05:19:12:02:55.857,2018:05:19:19:18:59.470,26163.613
2018:05:20:05:00:49.737,2018:05:20:12:16:53.399,26163.662
2018:05:20:21:58:43.717,2018:05:21:05:14:47.403,26163.686
2018:05:21:14:56:37.756,2018:05:21:22:12:41.465,26163.709
2018:05:22:07:54:31.832,2018:05:22:15:10:35.549,26163.717
2018:05:23:00:52:25.911,2018:05:23:08:08:29.608,26163.697
2018:05:23:17:50:19.944,2018:05:24:01:06:23.618,26163.674
2018:05:24:10:48:13.912,2018:05:24:18:04:17.552,26163.641
2018:05:25:03:46:07.787,2018:05:25:11:02:11.371,26163.584
2018:05:25:20:44:01.537,2018:05:26:04:00:05.069,26163.533
2018:05:26:13:41:55.165,2018:05:26:20:57:58.639,26163.474
2018:05:27:06:39:48.652,2018:05:27:13:55:52.064,26163.412
2018:05:27:23:37:42.000,2018:05:28:06:53:45.364,26163.364
2018:05:28:16:35:35.229,2018:05:28:23:51:38.537,26163.308
2018:05:29:09:33:28.337,2018:05:29:16:49:31.596,26163.259
2018:05:30:02:31:21.341,2018:05:30:09:47:24.571,26163.229
2018:05:30:19:29:14.272,2018:05:31:02:45:17.467,26163.195
2018:05:31:12:27:07.134,2018:05:31:19:43:10.303,26163.169
2018:06:01:05:24:59.946,2018:06:01:12:41:03.108,26163.162
2018:06:01:22:22:52.735,2018:06:02:05:38:55.880,26163.145
2018:06:02:15:20:45.499,2018:06:02:22:36:48.644,26163.145
2018:06:03:08:18:38.261,2018:06:03:15:34:41.411,26163.150
2018:06:04:01:16:31.030,2018:06:04:08:32:34.173,26163.144
2018:06:04:18:14:23.797,2018:06:05:01:30:26.948,26163.152
2018:06:05:11:12:16.578,2018:06:05:18:28:19.739,26163.161
2018:06:06:04:10:09.375,2018:06:06:11:26:12.533,26163.158
2018:06:06:21:08:02.176,2018:06:07:04:24:05.344,26163.167
2018:06:07:14:05:54.999,2018:06:07:21:21:58.173,26163.174
2018:06:08:07:03:47.831,2018:06:08:14:19:51.008,26163.177
2018:06:09:00:01:40.678,2018:06:09:07:17:43.874,26163.196
2018:06:09:16:59:33.559,2018:06:10:00:15:36.764,26163.205
2018:06:10:09:57:26.470,2018:06:10:17:13:29.691,26163.221
2018:06:11:02:55:19.427,2018:06:11:10:11:22.683,26163.256
2018:06:11:19:53:12.459,2018:06:12:03:09:15.746,26163.286
2018:06:12:12:51:05.573,2018:06:12:20:07:08.899,26163.326
2018:06:13:05:48:58.789,2018:06:13:13:05:02.174,26163.386
2018:06:13:22:46:52.137,2018:06:14:06:02:55.571,26163.434
2018:06:14:15:44:45.611,2018:06:14:23:00:49.110,26163.499
2018:06:15:08:42:39.230,2018:06:15:15:58:42.793,26163.563
2018:06:16:01:40:32.989,2018:06:16:08:56:36.597,26163.608
2018:06:16:18:38:26.859,2018:06:17:01:54:30.516,26163.657
