"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:18:15:13:36.321,2018:05:18:18:56:18.002,13361.681
2018:05:19:00:40:28.433,2018:05:19:04:23:10.121,13361.688
2018:05:19:10:07:20.563,2018:05:19:13:50:02.260,13361.698
2018:05:19:19:34:12.717,2018:05:19:23:16:54.422,13361.705
2018:05:20:05:01:04.886,2018:05:20:08:43:46.598,13361.712
2018:05:20:14:27:57.075,2018:05:20:18:10:38.794,13361.718
2018:05:20:23:54:49.276,2018:05:21:03:37:30.998,13361.722
2018:05:21:09:21:41.489,2018:05:21:13:04:23.217,13361.727
2018:05:21:18:48:33.710,2018:05:21:22:31:15.437,13361.727
2018:05:22:04:15:25.935,2018:05:22:07:58:07.665,13361.731
2018:05:22:13:42:18.161,2018:05:22:17:24:59.887,13361.727
2018:05:22:23:09:10.384,2018:05:23:02:51:52.113,13361.728
2018:05:23:08:36:02.602,2018:05:23:12:18:44.323,13361.721
2018:05:23:18:02:54.811,2018:05:23:21:45:36.531,13361.720
2018:05:24:03:29:47.012,2018:05:24:07:12:28.718,13361.706
2018:05:24:12:56:39.189,2018:05:24:16:39:20.897,13361.708
2018:05:24:22:23:31.358,2018:05:25:02:06:13.050,13361.692
2018:05:25:07:50:23.499,2018:05:25:11:33:05.191,13361.693
2018:05:25:17:17:15.627,2018:05:25:20:59:57.307,13361.680
2018:05:26:02:44:07.725,2018:05:26:06:26:49.400,13361.675
2018:05:26:12:10:59.807,2018:05:26:15:53:41.469,13361.662
2018:05:26:21:37:51.859,2018:05:27:01:20:33.515,13361.656
2018:05:27:07:04:43.893,2018:05:27:10:47:25.537,13361.644
2018:05:27:16:31:35.899,2018:05:27:20:14:17.536,13361.637
2018:05:28:01:58:27.886,2018:05:28:05:41:09.513,13361.627
2018:05:28:11:25:19.848,2018:05:28:15:08:01.467,13361.619
2018:05:28:20:52:11.792,2018:05:29:00:34:53.403,13361.611
2018:05:29:06:19:03.714,2018:05:29:10:01:45.317,13361.603
2018:05:29:15:45:55.620,2018:05:29:19:28:37.218,13361.597
2018:05:30:01:12:47.509,2018:05:30:04:55:29.099,13361.590
2018:05:30:10:39:39.384,2018:05:30:14:22:20.970,13361.587
2018:05:30:20:06:31.246,2018:05:30:23:49:12.825,13361.579
2018:05:31:05:33:23.097,2018:05:31:09:16:04.675,13361.578
2018:05:31:15:00:14.939,2018:05:31:18:42:56.511,13361.572
2018:06:01:00:27:06.773,2018:06:01:04:09:48.346,13361.573
2018:06:01:09:53:58.607,2018:06:01:13:36:40.168,13361.562
2018:06:01:19:20:50.426,2018:06:01:23:03:31.995,13361.569
2018:06:02:04:47:42.251,2018:06:02:08:30:23.810,13361.559
2018:06:02:14:14:34.065,2018:06:02:17:57:15.632,13361.567
2018:06:02:23:41:25.886,2018:06:03:03:24:07.445,13361.558
2018:06:03:09:08:17.699,2018:06:03:12:50:59.266,13361.567
2018:06:03:18:35:09.520,2018:06:03:22:17:51.084,13361.564
2018:06:04:04:02:01.335,2018:06:04:07:44:42.903,13361.568
2018:06:04:13:28:53.158,2018:06:04:17:11:34.724,13361.566
2018:06:04:22:55:44.976,2018:06:05:02:38:26.546,13361.570
2018:06:05:08:22:36.802,2018:06:05:12:05:18.370,13361.568
2018:06:05:17:49:28.625,2018:06:05:21:32:10.195,13361.571
2018:06:06:03:16:20.454,2018:06:06:06:59:02.024,13361.570
2018:06:06:12:43:12.281,2018:06:06:16:25:53.853,13361.572
2018:06:06:22:10:04.114,2018:06:07:01:52:45.687,13361.573
2018:06:07:07:36:55.946,2018:06:07:11:19:37.519,13361.573
2018:06:07:17:03:47.783,2018:06:07:20:46:29.359,13361.576
2018:06:08:02:30:39.621,2018:06:08:06:13:21.196,13361.575
2018:06:08:11:57:31.463,2018:06:08:15:40:13.042,13361.579
2018:06:08:21:24:23.308,2018:06:09:01:07:04.885,13361.577
2018:06:09:06:51:15.157,2018:06:09:10:33:56.739,13361.582
2018:06:09:16:18:07.011,2018:06:09:20:00:48.592,13361.581
2018:06:10:01:44:58.872,2018:06:10:05:27:40.459,13361.587
2018:06:10:11:11:50.743,2018:06:10:14:54:32.325,13361.582
2018:06:10:20:38:42.615,2018:06:11:00:21:24.210,13361.595
2018:06:11:06:05:34.506,2018:06:11:09:48:16.096,13361.591
2018:06:11:15:32:26.400,2018:06:11:19:15:08.005,13361.605
2018:06:12:00:59:18.316,2018:06:12:04:41:59.921,13361.604
2018:06:12:10:26:10.241,2018:06:12:14:08:51.859,13361.618
2018:06:12:19:53:02.190,2018:06:12:23:35:43.813,13361.622
2018:06:13:05:19:54.153,2018:06:13:09:02:35.787,13361.634
2018:06:13:14:46:46.143,2018:06:13:18:29:27.783,13361.640
2018:06:14:00:13:38.150,2018:06:14:03:56:19.802,13361.652
2018:06:14:09:40:30.186,2018:06:14:13:23:11.845,13361.660
2018:06:14:19:07:22.241,2018:06:14:22:50:03.912,13361.671
2018:06:15:04:34:14.324,2018:06:15:08:16:56.004,13361.680
2018:06:15:14:01:06.429,2018:06:15:17:43:48.118,13361.689
2018:06:15:23:27:58.558,2018:06:16:03:10:40.256,13361.698
2018:06:16:08:54:50.707,2018:06:16:12:37:32.412,13361.705
2018:06:16:18:21:42.876,2018:06:16:22:04:24.590,13361.714
2018:06:17:03:48:35.062,2018:06:17:07:31:16.779,13361.717
2018:06:17:13:15:27.262,2018:06:17:16:58:08.986,13361.725
2018:06:17:22:42:19.472,2018:06:18:02:25:01.197,13361.724
2018:06:18:08:09:11.690,2018:06:18:11:51:53.420,13361.730
2018:06:18:17:36:03.912,2018:06:18:21:18:45.638,13361.726
2018:06:19:03:02:56.134,2018:06:19:06:45:37.863,13361.729
2018:06:19:12:29:48.357,2018:06:19:16:12:30.076,13361.718
2018:06:19:21:56:40.565,2018:06:20:01:39:22.289,13361.724
2018:06:20:07:23:32.772,2018:06:20:11:06:14.483,13361.710
2018:06:20:16:50:24.958,2018:06:20:20:33:06.672,13361.714
2018:06:21:02:17:17.138,2018:06:21:05:59:58.841,13361.704
2018:06:21:11:44:09.293,2018:06:21:15:26:50.993,13361.700
2018:06:21:21:11:01.436,2018:06:22:00:53:43.125,13361.689
2018:06:22:06:37:53.553,2018:06:22:10:20:35.237,13361.684
2018:06:22:16:04:45.654,2018:06:22:19:47:27.327,13361.673
2018:06:23:01:31:37.728,2018:06:23:05:14:19.395,13361.667
2018:06:23:10:58:29.786,2018:06:23:14:41:11.442,13361.656
2018:06:23:20:25:21.817,2018:06:24:00:08:03.465,13361.649
2018:06:24:05:52:13.830,2018:06:24:09:34:55.470,13361.640
2018:06:24:15:19:05.819,2018:06:24:19:01:47.451,13361.632
2018:06:25:00:45:57.791,2018:06:25:04:28:39.416,13361.625
2018:06:25:10:12:49.742,2018:06:25:13:55:31.358,13361.616
2018:06:25:19:39:41.677,2018:06:25:23:22:23.289,13361.612
2018:06:26:05:06:33.595,2018:06:26:08:49:15.198,13361.603
2018:06:26:14:33:25.499,2018:06:26:18:16:07.100,13361.601
2018:06:27:00:00:17.390,2018:06:27:03:42:58.983,13361.593
2018:06:27:09:27:09.270,2018:06:27:13:09:50.862,13361.592
2018:06:27:18:54:01.139,2018:06:27:22:36:42.724,13361.584
2018:06:28:04:20:53.000,2018:06:28:08:03:34.585,13361.585
2018:06:28:13:47:44.859,2018:06:28:17:30:26.433,13361.574
2018:06:28:23:14:36.702,2018:06:29:02:57:18.283,13361.580
2018:06:29:08:41:28.550,2018:06:29:12:24:10.120,13361.570
2018:06:29:18:08:20.385,2018:06:29:21:51:01.962,13361.578
2018:06:30:03:35:12.225,2018:06:30:07:17:53.798,13361.573
2018:06:30:13:02:04.055,2018:06:30:16:44:45.631,13361.576
2018:06:30:22:28:55.891,2018:07:01:02:11:37.463,13361.572
2018:07:01:07:55:47.719,2018:07:01:11:38:29.294,13361.575
2018:07:01:17:22:39.552,2018:07:01:21:05:21.124,13361.572
2018:07:02:02:49:31.379,2018:07:02:06:32:12.953,13361.574
2018:07:02:12:16:23.210,2018:07:02:15:59:04.782,13361.572
2018:07:02:21:43:15.036,2018:07:03:01:25:56.610,13361.573
2018:07:03:07:10:06.866,2018:07:03:10:52:48.439,13361.573
2018:07:03:16:36:58.692,2018:07:03:20:19:40.264,13361.572
2018:07:04:02:03:50.520,2018:07:04:05:46:32.094,13361.573
2018:07:04:11:30:42.347,2018:07:04:15:13:23.918,13361.571
2018:07:04:20:57:34.174,2018:07:05:00:40:15.748,13361.574
2018:07:05:06:24:26.001,2018:07:05:10:07:07.573,13361.571
2018:07:05:15:51:17.830,2018:07:05:19:33:59.404,13361.575
2018:07:06:01:18:09.659,2018:07:06:05:00:51.231,13361.572
2018:07:06:10:45:01.491,2018:07:06:14:27:43.067,13361.577
2018:07:06:20:11:53.330,2018:07:06:23:54:34.899,13361.569
2018:07:07:05:38:45.164,2018:07:07:09:21:26.744,13361.580
2018:07:07:15:05:37.012,2018:07:07:18:48:18.586,13361.574
2018:07:08:00:32:28.859,2018:07:08:04:15:10.445,13361.586
2018:07:08:09:59:20.723,2018:07:08:13:42:02.304,13361.581
2018:07:08:19:26:12.589,2018:07:08:23:08:54.184,13361.595
2018:07:09:04:53:04.475,2018:07:09:08:35:46.072,13361.597
2018:07:09:14:19:56.369,2018:07:09:18:02:37.976,13361.607
2018:07:09:23:46:48.285,2018:07:10:03:29:29.896,13361.611
2018:07:10:09:13:40.215,2018:07:10:12:56:21.837,13361.622
2018:07:10:18:40:32.170,2018:07:10:22:23:13.798,13361.628
2018:07:11:04:07:24.142,2018:07:11:07:50:05.781,13361.639
2018:07:11:13:34:16.143,2018:07:11:17:16:57.790,13361.648
2018:07:11:23:01:08.164,2018:07:12:02:43:49.821,13361.658
2018:07:12:08:28:00.213,2018:07:12:12:10:41.881,13361.668
2018:07:12:17:54:52.285,2018:07:12:21:37:33.962,13361.677
2018:07:13:03:21:44.383,2018:07:13:07:04:26.071,13361.688
2018:07:13:12:48:36.504,2018:07:13:16:31:18.199,13361.694
2018:07:13:22:15:28.648,2018:07:14:01:58:10.353,13361.705
2018:07:14:07:42:20.811,2018:07:14:11:25:02.520,13361.709
2018:07:14:17:09:12.991,2018:07:14:20:51:54.709,13361.718
2018:07:15:02:36:05.185,2018:07:15:06:18:46.904,13361.719
2018:07:15:12:02:57.391,2018:07:15:15:45:39.117,13361.726
2018:07:15:21:29:49.608,2018:07:16:01:12:31.327,13361.719
2018:07:16:06:56:41.820,2018:07:16:10:39:23.548,13361.728
2018:07:16:16:23:34.041,2018:07:16:20:06:15.760,13361.719
2018:07:17:01:50:26.250,2018:07:17:05:33:07.975,13361.725
2018:07:17:11:17:18.461,2018:07:17:15:00:00.175,13361.714
2018:07:17:20:44:10.655,2018:07:18:00:26:52.372,13361.718
2018:07:18:06:11:02.844,2018:07:18:09:53:44.553,13361.709
2018:07:18:15:37:55.012,2018:07:18:19:20:36.718,13361.706
2018:07:19:01:04:47.170,2018:07:19:04:47:28.866,13361.696
2018:07:19:10:31:39.304,2018:07:19:14:14:20.996,13361.692
2018:07:19:19:58:31.424,2018:07:19:23:41:13.106,13361.682
2018:07:20:05:25:23.521,2018:07:20:09:08:05.196,13361.676
