"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:01:10:00:00.000,2008:07:03:15:27:38.423,192458.423
2008:07:03:16:11:53.037,2008:07:05:21:42:07.872,192614.835
2008:07:05:22:25:16.688,2008:07:08:03:56:33.330,192676.642
2008:07:08:04:38:38.967,2008:07:10:10:10:55.364,192736.398
2008:07:10:10:52:00.207,2008:07:12:16:25:14.156,192793.949
2008:07:12:17:05:20.602,2008:07:14:22:39:29.679,192849.076
2008:07:14:23:18:40.259,2008:07:17:04:53:41.808,192901.549
2008:07:17:05:31:59.231,2008:07:19:11:07:50.358,192951.127
2008:07:19:11:45:17.527,2008:07:21:17:21:55.136,192997.609
2008:07:21:17:58:35.123,2008:07:23:23:35:55.998,193040.875
2008:07:24:00:11:51.987,2008:07:26:05:49:52.940,193080.953
2008:07:26:06:25:08.113,2008:07:28:12:03:46.171,193118.058
2008:07:28:12:38:23.548,2008:07:30:18:17:36.149,193152.602
2008:07:30:18:51:38.433,2008:08:02:00:31:23.525,193185.092
2008:08:02:01:04:53.009,2008:08:04:06:45:08.967,193215.957
2008:08:04:07:18:07.527,2008:08:06:12:58:52.961,193245.434
2008:08:06:13:31:22.206,2008:08:08:19:12:35.770,193273.564
2008:08:08:19:44:37.174,2008:08:11:01:26:17.462,193300.288
2008:08:11:01:57:52.483,2008:08:13:07:39:58.010,193325.527
2008:08:13:08:11:08.146,2008:08:15:13:53:37.302,193349.155
2008:08:15:14:24:24.125,2008:08:17:00:58:40.942,124456.817
2008:08:17:04:48:05.226,2008:08:17:20:07:15.163,55149.937
2008:08:17:20:37:40.326,2008:08:20:02:20:51.382,193391.057
2008:08:20:02:50:56.630,2008:08:22:08:34:25.784,193409.154
2008:08:22:09:04:12.899,2008:08:24:14:47:58.279,193425.380
2008:08:24:15:17:29.035,2008:08:26:21:01:28.948,193439.912
2008:08:26:21:30:45.026,2008:08:29:03:14:58.045,193453.020
2008:08:29:03:44:00.968,2008:08:31:09:28:25.922,193464.954
2008:08:31:09:57:17.056,2008:09:02:15:41:52.942,193475.886
2008:09:02:16:10:33.515,2008:09:04:21:55:19.377,193485.862
2008:09:04:22:23:50.544,2008:09:07:04:08:45.382,193494.838
2008:09:07:04:37:08.283,2008:09:09:10:22:11.026,193502.744
2008:09:09:10:50:26.818,2008:09:11:16:35:36.292,193509.474
2008:09:11:17:03:46.173,2008:09:13:22:49:01.106,193514.933
2008:09:13:23:17:06.327,2008:09:16:05:02:25.319,193518.992
