"Time (YYYY:MM:DD)","Range (km)"
2018:05:17:12:36:31.963,4407.312105
2018:05:17:12:46:31.000,4243.529300
2018:05:17:12:56:31.000,4087.646359
2018:05:17:13:06:31.000,3943.563875
2018:05:17:13:16:31.000,3815.072833
2018:05:17:13:26:31.000,3705.971619
2018:05:17:13:36:31.000,3619.847779
2018:05:17:13:46:31.000,3559.803159
2018:05:17:13:56:31.000,3528.157755
2018:05:17:14:06:31.000,3526.190537
2018:05:17:14:16:31.000,3553.982226
2018:05:17:14:26:31.000,3610.405024
2018:05:17:14:36:31.000,3693.262362
2018:05:17:14:46:31.000,3799.538254
2018:05:17:14:56:31.000,3925.692301
2018:05:17:15:06:31.000,4067.939915
2018:05:17:15:16:31.000,4222.479095
2018:05:17:15:26:31.000,4385.650111
2018:05:17:15:27:48.990,4407.312091
2018:05:17:20:50:19.396,4407.312090
2018:05:17:21:00:19.000,4243.400604
2018:05:17:21:10:19.000,4087.551357
2018:05:17:21:20:19.000,3943.506910
2018:05:17:21:30:19.000,3815.057705
2018:05:17:21:40:19.000,3706.001241
2018:05:17:21:50:19.000,3619.923783
2018:05:17:22:00:19.000,3559.925545
2018:05:17:22:10:19.000,3528.324656
2018:05:17:22:20:19.000,3526.398189
2018:05:17:22:30:19.000,3554.225190
2018:05:17:22:40:19.000,3610.676622
2018:05:17:22:50:19.000,3693.555229
2018:05:17:23:00:19.000,3799.844890
2018:05:17:23:10:19.000,3926.005517
2018:05:17:23:20:19.000,4068.253143
2018:05:17:23:30:19.000,4222.786547
2018:05:17:23:40:19.000,4385.946828
2018:05:17:23:41:35.930,4407.312105
2018:05:18:05:04:06.851,4407.310837
2018:05:18:05:14:06.000,4243.542189
2018:05:18:05:24:06.000,4087.707829
2018:05:18:05:34:06.000,3943.676213
2018:05:18:05:44:06.000,3815.237134
2018:05:18:05:54:06.000,3706.187420
2018:05:18:06:04:06.000,3620.112715
2018:05:18:06:14:06.000,3560.112759
2018:05:18:06:24:06.000,3528.505460
2018:05:18:06:34:06.000,3526.567999
2018:05:18:06:44:06.000,3554.379874
2018:05:18:06:54:06.000,3610.812791
2018:05:18:07:04:06.000,3693.670414
2018:05:18:07:14:06.000,3799.937588
2018:05:18:07:24:06.000,3926.075126
2018:05:18:07:34:06.000,4068.299822
2018:05:18:07:44:06.000,4222.811054
2018:05:18:07:54:06.000,4385.950361
2018:05:18:07:55:22.922,4407.310819
2018:05:18:13:17:54.314,4407.310785
2018:05:18:13:27:54.000,4243.417762
2018:05:18:13:37:54.000,4087.612604
2018:05:18:13:47:54.000,3943.614195
2018:05:18:13:57:54.000,3815.211887
2018:05:18:14:07:54.000,3706.201754
2018:05:18:14:17:54.000,3620.168341
2018:05:18:14:27:54.000,3560.209960
2018:05:18:14:37:54.000,3528.642865
2018:05:18:14:47:54.000,3526.742539
2018:05:18:14:57:54.000,3554.586958
2018:05:18:15:07:54.000,3611.046675
2018:05:18:15:17:54.000,3693.924684
2018:05:18:15:27:54.000,3800.205646
2018:05:18:15:37:54.000,3926.350596
2018:05:18:15:47:54.000,4068.576833
2018:05:18:15:57:54.000,4223.084394
2018:05:18:16:07:54.000,4386.215529
2018:05:18:16:09:09.978,4407.312087
2018:05:18:21:31:41.781,4407.312095
2018:05:18:21:41:41.000,4243.561061
2018:05:18:21:51:41.000,4087.766209
2018:05:18:22:01:41.000,3943.775759
2018:05:18:22:11:41.000,3815.378522
2018:05:18:22:21:41.000,3706.370045
2018:05:18:22:31:41.000,3620.334433
2018:05:18:22:41:41.000,3560.369731
2018:05:18:22:51:41.000,3528.792185
2018:05:18:23:01:41.000,3526.877572
2018:05:18:23:11:41.000,3554.704460
2018:05:18:23:21:41.000,3611.144213
2018:05:18:23:31:41.000,3694.000744
2018:05:18:23:41:41.000,3800.259621
2018:05:18:23:51:41.000,3926.382675
2018:05:19:00:01:41.000,4068.587845
2018:05:19:00:11:41.000,4223.075637
2018:05:19:00:21:41.000,4386.188620
2018:05:19:00:22:57.083,4407.312101
2018:05:19:05:45:29.261,4407.310855
2018:05:19:05:55:29.000,4243.435940
2018:05:19:06:05:29.000,4087.665655
2018:05:19:06:15:29.000,3943.703533
2018:05:19:06:25:29.000,3815.338056
2018:05:19:06:35:29.000,3706.364167
2018:05:19:06:45:29.000,3620.365055
2018:05:19:06:55:29.000,3560.437544
2018:05:19:07:05:29.000,3528.896431
2018:05:19:07:15:29.000,3527.015975
2018:05:19:07:25:29.000,3554.873346
2018:05:19:07:35:29.000,3611.338812
2018:05:19:07:45:29.000,3694.215599
2018:05:19:07:55:29.000,3800.489018
2018:05:19:08:05:29.000,3926.621010
2018:05:19:08:15:29.000,4068.829884
2018:05:19:08:25:29.000,4223.316675
2018:05:19:08:35:29.000,4386.424541
2018:05:19:08:36:44.233,4407.310797
2018:05:19:13:59:16.737,4407.310797
2018:05:19:14:09:16.000,4243.576040
2018:05:19:14:19:16.000,4087.811397
2018:05:19:14:29:16.000,3943.852375
2018:05:19:14:39:16.000,3815.487033
2018:05:19:14:49:16.000,3706.509943
2018:05:19:14:59:16.000,3620.504039
2018:05:19:15:09:16.000,3560.566082
2018:05:19:15:19:16.000,3529.011059
2018:05:19:15:29:16.000,3527.113691
2018:05:19:15:39:16.000,3554.951849
2018:05:19:15:49:16.000,3611.396655
2018:05:19:15:59:16.000,3694.252221
2018:05:19:16:09:16.000,3800.504675
2018:05:19:16:19:16.000,3926.616631
2018:05:19:16:29:16.000,4068.806901
2018:05:19:16:39:16.000,4223.276854
2018:05:19:16:49:16.000,4386.369842
2018:05:19:16:50:31.436,4407.310855
2018:05:19:22:13:04.204,4407.312101
2018:05:19:22:23:04.000,4243.445358
2018:05:19:22:33:04.000,4087.700625
2018:05:19:22:43:04.000,3943.765126
2018:05:19:22:53:04.000,3815.426715
2018:05:19:23:03:04.000,3706.479518
2018:05:19:23:13:04.000,3620.505738
2018:05:19:23:23:04.000,3560.601114
2018:05:19:23:33:04.000,3529.079378
2018:05:19:23:43:04.000,3527.213889
2018:05:19:23:53:04.000,3555.081217
2018:05:20:00:03:04.000,3611.551410
2018:05:20:00:13:04.000,3694.427848
2018:05:20:00:23:04.000,3800.696303
2018:05:20:00:33:04.000,3926.819364
2018:05:20:00:43:04.000,4069.016073
2018:05:20:00:53:04.000,4223.488185
2018:05:20:01:03:04.000,4386.579519
2018:05:20:01:04:18.688,4407.312095
2018:05:20:06:26:51.667,4407.312087
2018:05:20:06:36:51.000,4243.577498
2018:05:20:06:46:51.000,4087.833778
2018:05:20:06:56:51.000,3943.896655
2018:05:20:07:06:51.000,3815.553686
2018:05:20:07:16:51.000,3706.598785
2018:05:20:07:26:51.000,3620.614087
2018:05:20:07:36:51.000,3560.695462
2018:05:20:07:46:51.000,3529.157017
2018:05:20:07:56:51.000,3527.272715
2018:05:20:08:06:51.000,3555.119907
2018:05:20:08:16:51.000,3611.569502
2018:05:20:08:26:51.000,3694.425707
2018:05:20:08:36:51.000,3800.674996
2018:05:20:08:46:51.000,3926.780494
2018:05:20:08:56:51.000,4068.961594
2018:05:20:09:06:51.000,4223.420246
2018:05:20:09:16:51.000,4386.500337
2018:05:20:09:18:05.973,4407.310785
2018:05:20:14:40:39.122,4407.310819
2018:05:20:14:50:39.000,4243.436597
2018:05:20:15:00:39.000,4087.708222
2018:05:20:15:10:39.000,3943.790008
2018:05:20:15:20:39.000,3815.469440
2018:05:20:15:30:39.000,3706.540147
2018:05:20:15:40:39.000,3620.583714
2018:05:20:15:50:39.000,3560.695182
2018:05:20:16:00:39.000,3529.187574
2018:05:20:16:10:39.000,3527.333620
2018:05:20:16:20:39.000,3555.209437
2018:05:20:16:30:39.000,3611.684851
2018:05:20:16:40:39.000,3694.563264
2018:05:20:16:50:39.000,3800.830669
2018:05:20:17:00:39.000,3926.950020
2018:05:20:17:10:39.000,4069.140787
2018:05:20:17:20:39.000,4223.605165
2018:05:20:17:30:39.000,4386.687381
2018:05:20:17:31:53.300,4407.310837
2018:05:20:22:54:26.552,4407.312105
2018:05:20:23:04:26.000,4243.556276
2018:05:20:23:14:26.000,4087.824435
2018:05:20:23:24:26.000,3943.900121
2018:05:20:23:34:26.000,3815.570655
2018:05:20:23:44:26.000,3706.629616
2018:05:20:23:54:26.000,3620.658701
2018:05:21:00:04:26.000,3560.753265
2018:05:21:00:14:26.000,3529.226867
2018:05:21:00:24:26.000,3527.352958
2018:05:21:00:34:26.000,3555.208485
2018:05:21:00:44:26.000,3611.664111
2018:05:21:00:54:26.000,3694.523975
2018:05:21:01:04:26.000,3800.774643
2018:05:21:01:14:26.000,3926.879445
2018:05:21:01:24:26.000,4069.058050
2018:05:21:01:34:26.000,4223.512703
2018:05:21:01:44:26.000,4386.587580
2018:05:21:01:45:40.666,4407.312090
2018:05:21:07:08:13.966,4407.312091
2018:05:21:07:18:13.000,4243.668148
2018:05:21:07:28:13.000,4087.930695
2018:05:21:07:38:13.000,3943.998171
2018:05:21:07:48:13.000,3815.657805
2018:05:21:07:58:13.000,3706.703202
2018:05:21:08:08:13.000,3620.716259
2018:05:21:08:18:13.000,3560.792734
2018:05:21:08:28:13.000,3529.246789
2018:05:21:08:38:13.000,3527.352646
2018:05:21:08:48:13.000,3555.188093
2018:05:21:08:58:13.000,3611.624606
2018:05:21:09:08:13.000,3694.467009
2018:05:21:09:18:13.000,3800.702365
2018:05:21:09:28:13.000,3926.794302
2018:05:21:09:38:13.000,4068.962608
2018:05:21:09:48:13.000,4223.409508
2018:05:21:09:58:13.000,4386.479066
2018:05:21:09:59:28.058,4407.312105
2018:05:21:15:22:01.360,4407.310840
2018:05:21:15:32:01.000,4243.503885
2018:05:21:15:42:01.000,4087.775339
2018:05:21:15:52:01.000,3943.855402
2018:05:21:16:02:01.000,3815.531430
2018:05:21:16:12:01.000,3706.596985
2018:05:21:16:22:01.000,3620.633674
2018:05:21:16:32:01.000,3560.736682
2018:05:21:16:42:01.000,3529.219304
2018:05:21:16:52:01.000,3527.354667
2018:05:21:17:02:01.000,3555.219365
2018:05:21:17:12:01.000,3611.683718
2018:05:21:17:22:01.000,3694.551586
2018:05:21:17:32:01.000,3800.809332
2018:05:21:17:42:01.000,3926.920169
2018:05:21:17:52:01.000,4069.103724
2018:05:21:18:02:01.000,4223.562257
2018:05:21:18:12:01.000,4386.639994
2018:05:21:18:13:15.472,4407.310815
2018:05:21:23:35:48.722,4407.310786
2018:05:21:23:45:48.000,4243.597256
