"Time (YYYY:MM:DD)","Range (km)"
2018:05:19:23:58:02.000,3317.161665
2018:05:20:00:08:02.000,3403.032920
2018:05:20:00:18:02.000,3518.828087
2018:05:20:00:28:02.000,3659.939246
2018:05:20:00:38:02.000,3821.421935
2018:05:20:00:48:02.000,3998.368081
2018:05:20:00:58:02.000,4186.147010
2018:05:20:01:08:02.000,4380.531167
2018:05:20:01:09:23.745,4407.312037
2018:05:20:06:21:49.914,4407.311500
2018:05:20:06:31:49.000,4212.627949
2018:05:20:06:41:49.000,4023.702839
2018:05:20:06:51:49.000,3845.003114
2018:05:20:07:01:49.000,3681.109052
2018:05:20:07:11:49.000,3536.901745
2018:05:20:07:21:49.000,3417.339574
2018:05:20:07:31:49.000,3327.103164
2018:05:20:07:41:49.000,3270.127145
2018:05:20:07:51:49.000,3249.097670
2018:05:20:08:01:49.000,3265.048916
2018:05:20:08:11:49.000,3317.194216
2018:05:20:08:21:49.000,3403.055202
2018:05:20:08:31:49.000,3518.840156
2018:05:20:08:41:49.000,3659.941562
2018:05:20:08:51:49.000,3821.415244
2018:05:20:09:01:49.000,3998.353304
2018:05:20:09:11:49.000,4186.125152
2018:05:20:09:21:49.000,4380.503256
2018:05:20:09:23:10.833,4407.312091
2018:05:20:14:35:37.089,4407.310596
2018:05:20:14:45:37.000,4212.366054
2018:05:20:14:55:37.000,4023.456412
2018:05:20:15:05:37.000,3844.778400
2018:05:20:15:15:37.000,3680.912712
2018:05:20:15:25:37.000,3536.740592
2018:05:20:15:35:37.000,3417.220131
2018:05:20:15:45:37.000,3327.031054
2018:05:20:15:55:37.000,3270.106380
2018:05:20:16:05:37.000,3249.130023
2018:05:20:16:15:37.000,3265.133563
2018:05:20:16:25:37.000,3317.327804
2018:05:20:16:35:37.000,3403.232317
2018:05:20:16:45:37.000,3519.054040
2018:05:20:16:55:37.000,3660.184848
2018:05:20:17:05:37.000,3821.680566
2018:05:20:17:15:37.000,3998.633704
2018:05:20:17:25:37.000,4186.414297
2018:05:20:17:35:37.000,4380.795520
2018:05:20:17:36:57.938,4407.310809
2018:05:20:22:49:24.248,4407.312070
2018:05:20:22:59:24.000,4212.421277
2018:05:20:23:09:24.000,4023.512030
2018:05:20:23:19:24.000,3844.833304
2018:05:20:23:29:24.000,3680.965632
2018:05:20:23:39:24.000,3536.790119
2018:05:20:23:49:24.000,3417.264772
2018:05:20:23:59:24.000,3327.069325
2018:05:21:00:09:24.000,3270.136945
2018:05:21:00:19:24.000,3249.151839
2018:05:21:00:29:24.000,3265.146006
2018:05:21:00:39:24.000,3317.330731
2018:05:21:00:49:24.000,3403.226046
2018:05:21:00:59:24.000,3519.039265
2018:05:21:01:09:24.000,3660.162522
2018:05:21:01:19:24.000,3821.651782
2018:05:21:01:29:24.000,3998.599600
2018:05:21:01:39:24.000,4186.375993
2018:05:21:01:49:24.000,4380.754075
2018:05:21:01:50:45.068,4407.311810
2018:05:21:07:03:11.404,4407.311839
2018:05:21:07:13:11.000,4212.471867
2018:05:21:07:23:11.000,4023.561424
2018:05:21:07:33:11.000,3844.880366
2018:05:21:07:43:11.000,3681.009112
2018:05:21:07:53:11.000,3536.828682
2018:05:21:08:03:11.000,3417.297074
2018:05:21:08:13:11.000,3327.094117
2018:05:21:08:23:11.000,3270.153203
2018:05:21:08:33:11.000,3249.158897
2018:05:21:08:43:11.000,3265.143650
2018:05:21:08:53:11.000,3317.319221
2018:05:21:09:03:11.000,3403.206061
2018:05:21:09:13:11.000,3519.011794
2018:05:21:09:23:11.000,3660.128735
