"Time (YYYY:MM:DD)","Range (km)"
2018:05:17:12:29:05.992,4407.310889
2018:05:17:12:39:05.000,4193.638817
2018:05:17:12:49:05.000,3984.097067
2018:05:17:12:59:05.000,3783.450590
2018:05:17:13:09:05.000,3596.694905
2018:05:17:13:19:05.000,3429.353200
2018:05:17:13:29:05.000,3287.287202
2018:05:17:13:39:05.000,3176.322496
2018:05:17:13:49:05.000,3101.670986
2018:05:17:13:59:05.000,3067.221857
2018:05:17:14:09:05.000,3074.885622
2018:05:17:14:19:05.000,3124.230538
2018:05:17:14:29:05.000,3212.567185
2018:05:17:14:39:05.000,3335.443641
2018:05:17:14:49:05.000,3487.347857
2018:05:17:14:59:05.000,3662.384670
2018:05:17:15:09:05.000,3854.782387
2018:05:17:15:19:05.000,4059.195245
2018:05:17:15:29:05.000,4270.838262
2018:05:17:15:35:26.741,4407.312094
2018:05:17:20:42:52.920,4407.312080
2018:05:17:20:52:52.000,4193.622564
2018:05:17:21:02:52.000,3984.090200
2018:05:17:21:12:52.000,3783.454225
2018:05:17:21:22:52.000,3596.710059
2018:05:17:21:32:52.000,3429.380681
2018:05:17:21:42:52.000,3287.327455
2018:05:17:21:52:52.000,3176.375430
2018:05:17:22:02:52.000,3101.735826
2018:05:17:22:12:52.000,3067.297079
2018:05:17:22:22:52.000,3074.969043
2018:05:17:22:32:52.000,3124.319538
2018:05:17:22:42:52.000,3212.659024
2018:05:17:22:52:52.000,3335.535740
2018:05:17:23:02:52.000,3487.437993
2018:05:17:23:12:52.000,3662.471054
2018:05:17:23:22:52.000,3854.863658
2018:05:17:23:32:52.000,4059.270419
2018:05:17:23:42:52.000,4270.906655
2018:05:17:23:49:13.560,4407.311233
2018:05:18:04:56:39.858,4407.312001
2018:05:18:05:06:39.000,4193.607852
2018:05:18:05:16:39.000,3984.084124
2018:05:18:05:26:39.000,3783.457802
2018:05:18:05:36:39.000,3596.724216
2018:05:18:05:46:39.000,3429.406151
2018:05:18:05:56:39.000,3287.364638
2018:05:18:06:06:39.000,3176.424233
2018:05:18:06:16:39.000,3101.795529
2018:05:18:06:26:39.000,3067.366276
2018:05:18:06:36:39.000,3075.045721
2018:05:18:06:46:39.000,3124.401293
2018:05:18:06:56:39.000,3212.743340
2018:05:18:07:06:39.000,3335.620253
2018:05:18:07:16:39.000,3487.520669
2018:05:18:07:26:39.000,3662.550256
2018:05:18:07:36:39.000,3854.938146
2018:05:18:07:46:39.000,4059.339293
2018:05:18:07:56:39.000,4270.969296
2018:05:18:08:03:00.399,4407.311998
2018:05:18:13:10:26.802,4407.311637
2018:05:18:13:20:26.000,4193.594291
2018:05:18:13:30:26.000,3984.078414
2018:05:18:13:40:26.000,3783.460869
2018:05:18:13:50:26.000,3596.736903
2018:05:18:14:00:26.000,3429.429126
2018:05:18:14:10:26.000,3287.398266
2018:05:18:14:20:26.000,3176.468433
2018:05:18:14:30:26.000,3101.849647
2018:05:18:14:40:26.000,3067.429038
2018:05:18:14:50:26.000,3075.115303
2018:05:18:15:00:26.000,3124.475511
2018:05:18:15:10:26.000,3212.819910
2018:05:18:15:20:26.000,3335.697028
2018:05:18:15:30:26.000,3487.595800
2018:05:18:15:40:26.000,3662.622257
2018:05:18:15:50:26.000,3855.005887
2018:05:18:16:00:26.000,4059.401956
2018:05:18:16:10:26.000,4271.026318
2018:05:18:16:16:47.251,4407.312063
2018:05:18:21:24:13.748,4407.312104
2018:05:18:21:34:13.000,4193.581484
2018:05:18:21:44:13.000,3984.072647
2018:05:18:21:54:13.000,3783.462981
2018:05:18:22:04:13.000,3596.747661
2018:05:18:22:14:13.000,3429.449141
2018:05:18:22:24:13.000,3287.427879
2018:05:18:22:34:13.000,3176.507587
2018:05:18:22:44:13.000,3101.897771
2018:05:18:22:54:13.000,3067.485004
2018:05:18:23:04:13.000,3075.177484
2018:05:18:23:14:13.000,3124.541953
2018:05:18:23:24:13.000,3212.888563
2018:05:18:23:34:13.000,3335.765964
2018:05:18:23:44:13.000,3487.663350
2018:05:18:23:54:13.000,3662.687080
2018:05:19:00:04:13.000,3855.066960
2018:05:19:00:14:13.000,4059.458536
2018:05:19:00:24:13.000,4271.077890
2018:05:19:00:30:34.112,4407.310610
2018:05:19:05:38:00.698,4407.312022
2018:05:19:05:48:00.000,4193.569033
2018:05:19:05:58:00.000,3984.066403
2018:05:19:06:08:00.000,3783.463701
2018:05:19:06:18:00.000,3596.756045
2018:05:19:06:28:00.000,3429.465752
2018:05:19:06:38:00.000,3287.453047
2018:05:19:06:48:00.000,3176.541290
2018:05:19:06:58:00.000,3101.939536
2018:05:19:07:08:00.000,3067.533858
2018:05:19:07:18:00.000,3075.232007
2018:05:19:07:28:00.000,3124.600429
2018:05:19:07:38:00.000,3212.949181
2018:05:19:07:48:00.000,3335.827009
2018:05:19:07:58:00.000,3487.723335
2018:05:19:08:08:00.000,3662.744799
2018:05:19:08:18:00.000,3855.121490
2018:05:19:08:28:00.000,4059.509201
2018:05:19:08:38:00.000,4271.124216
2018:05:19:08:44:20.995,4407.312106
2018:05:19:13:51:47.650,4407.312106
2018:05:19:14:01:47.000,4193.556538
2018:05:19:14:11:47.000,3984.059265
2018:05:19:14:21:47.000,3783.462605
2018:05:19:14:31:47.000,3596.761627
2018:05:19:14:41:47.000,3429.478539
2018:05:19:14:51:47.000,3287.473369
2018:05:19:15:01:47.000,3176.569174
2018:05:19:15:11:47.000,3101.974616
2018:05:19:15:21:47.000,3067.575330
2018:05:19:15:31:47.000,3075.278669
2018:05:19:15:41:47.000,3124.650805
2018:05:19:15:51:47.000,3213.001698
2018:05:19:16:01:47.000,3335.880166
2018:05:19:16:11:47.000,3487.775817
2018:05:19:16:21:47.000,3662.795532
2018:05:19:16:31:47.000,3855.169643
2018:05:19:16:41:47.000,4059.554157
2018:05:19:16:51:47.000,4271.165534
2018:05:19:16:58:07.887,4407.312028
2018:05:19:22:05:34.607,4407.310524
2018:05:19:22:15:34.000,4193.543601
2018:05:19:22:25:34.000,3984.050825
